Requirement ID,Goal,Title,In Scope (Y/N),Validation Approach (Defined/Customized/Compensating Control),Implementation Status,Evidence Reference,Owner,Last Review Date
1.1,Build and Maintain a Secure Network and Systems,NSC processes defined,Y,Defined,Not Started,,,
1.2,Build and Maintain a Secure Network and Systems,NSCs configured and maintained,Y,Defined,Not Started,,,
1.3,Build and Maintain a Secure Network and Systems,CDE network access restricted,Y,Defined,Not Started,,,
1.4,Build and Maintain a Secure Network and Systems,Trusted/untrusted network connections controlled,Y,Defined,Not Started,,,
1.5,Build and Maintain a Secure Network and Systems,Dual-connected device risk mitigated,Y,Defined,Not Started,,,
2.1,Build and Maintain a Secure Network and Systems,Secure configuration processes defined,Y,Defined,Not Started,,,
2.2,Build and Maintain a Secure Network and Systems,System components securely configured,Y,Defined,Not Started,,,
2.3,Build and Maintain a Secure Network and Systems,Wireless environments secured,Y,Defined,Not Started,,,
3.1,Protect Account Data,Stored data protection processes defined,Y,Defined,Not Started,,,
3.2,Protect Account Data,Storage minimized,Y,Defined,Not Started,,,
3.3,Protect Account Data,SAD not stored after authorization,Y,Defined,Not Started,,,
3.4,Protect Account Data,PAN display/copy restricted,Y,Defined,Not Started,,,
3.5,Protect Account Data,PAN secured wherever stored,Y,Defined,Not Started,,,
3.6,Protect Account Data,Cryptographic keys secured,Y,Defined,Not Started,,,
3.7,Protect Account Data,Key management processes defined,Y,Defined,Not Started,,,
4.1,Protect Account Data,Transmission protection processes defined,Y,Defined,Not Started,,,
4.2,Protect Account Data,PAN protected during transmission,Y,Defined,Not Started,,,
5.1,Maintain a Vulnerability Management Program,Anti-malware processes defined,Y,Defined,Not Started,,,
5.2,Maintain a Vulnerability Management Program,Malware prevented/detected,Y,Defined,Not Started,,,
5.3,Maintain a Vulnerability Management Program,Anti-malware mechanisms maintained,Y,Defined,Not Started,,,
5.4,Maintain a Vulnerability Management Program,Anti-phishing mechanisms,Y,Defined,Not Started,,,
6.1,Maintain a Vulnerability Management Program,Secure development processes defined,Y,Defined,Not Started,,,
6.2,Maintain a Vulnerability Management Program,Bespoke/custom software developed securely,Y,Defined,Not Started,,,
6.3,Maintain a Vulnerability Management Program,Vulnerabilities identified and addressed,Y,Defined,Not Started,,,
6.4,Maintain a Vulnerability Management Program,Public-facing web apps protected,Y,Defined,Not Started,,,
6.5,Maintain a Vulnerability Management Program,Changes managed securely,Y,Defined,Not Started,,,
7.1,Implement Strong Access Control Measures,Need-to-know access processes defined,Y,Defined,Not Started,,,
7.2,Implement Strong Access Control Measures,Access appropriately defined/assigned,Y,Defined,Not Started,,,
7.3,Implement Strong Access Control Measures,Access control system(s) used,Y,Defined,Not Started,,,
8.1,Implement Strong Access Control Measures,Identification/authentication processes defined,Y,Defined,Not Started,,,
8.2,Implement Strong Access Control Measures,User IDs/accounts strictly managed,Y,Defined,Not Started,,,
8.3,Implement Strong Access Control Measures,Strong authentication established,Y,Defined,Not Started,,,
8.4,Implement Strong Access Control Measures,MFA implemented for CDE access,Y,Defined,Not Started,,,
8.5,Implement Strong Access Control Measures,MFA configured to prevent misuse,Y,Defined,Not Started,,,
8.6,Implement Strong Access Control Measures,System/application accounts managed,Y,Defined,Not Started,,,
9.1,Implement Strong Access Control Measures,Physical access processes defined,Y,Defined,Not Started,,,
9.2,Implement Strong Access Control Measures,Physical access controls manage entry,Y,Defined,Not Started,,,
9.3,Implement Strong Access Control Measures,Personnel/visitor physical access managed,Y,Defined,Not Started,,,
9.4,Implement Strong Access Control Measures,Media securely handled,Y,Defined,Not Started,,,
9.5,Implement Strong Access Control Measures,POI devices protected,Y,Defined,Not Started,,,
10.1,Regularly Monitor and Test Networks,Logging processes defined,Y,Defined,Not Started,,,
10.2,Regularly Monitor and Test Networks,Audit logs implemented,Y,Defined,Not Started,,,
10.3,Regularly Monitor and Test Networks,Audit logs protected,Y,Defined,Not Started,,,
10.4,Regularly Monitor and Test Networks,Audit logs reviewed,Y,Defined,Not Started,,,
10.5,Regularly Monitor and Test Networks,Audit log history retained,Y,Defined,Not Started,,,
10.6,Regularly Monitor and Test Networks,Time synchronization,Y,Defined,Not Started,,,
10.7,Regularly Monitor and Test Networks,Critical security control failures detected,Y,Defined,Not Started,,,
11.1,Regularly Monitor and Test Networks,Security testing processes defined,Y,Defined,Not Started,,,
11.2,Regularly Monitor and Test Networks,Wireless access points monitored,Y,Defined,Not Started,,,
11.3,Regularly Monitor and Test Networks,Vulnerabilities identified/addressed,Y,Defined,Not Started,,,
11.4,Regularly Monitor and Test Networks,Penetration testing performed,Y,Defined,Not Started,,,
11.5,Regularly Monitor and Test Networks,Intrusions/file changes detected,Y,Defined,Not Started,,,
11.6,Regularly Monitor and Test Networks,Payment page changes detected,Y,Defined,Not Started,,,
12.1,Maintain an Information Security Policy,Information security policy current,Y,Defined,Not Started,,,
12.2,Maintain an Information Security Policy,Acceptable use policies defined,Y,Defined,Not Started,,,
12.3,Maintain an Information Security Policy,CDE risks formally managed,Y,Defined,Not Started,,,
12.4,Maintain an Information Security Policy,PCI DSS compliance managed,Y,Defined,Not Started,,,
12.5,Maintain an Information Security Policy,PCI DSS scope documented/validated,Y,Defined,Not Started,,,
12.6,Maintain an Information Security Policy,Security awareness ongoing,Y,Defined,Not Started,,,
12.7,Maintain an Information Security Policy,Personnel screened,Y,Defined,Not Started,,,
12.8,Maintain an Information Security Policy,TPSP risk managed,Y,Defined,Not Started,,,
12.9,Maintain an Information Security Policy,TPSPs support customer compliance,Y,Defined,Not Started,,,
12.10,Maintain an Information Security Policy,Incidents responded to immediately,Y,Defined,Not Started,,,
