Standard ID,Category,Title,Required/Addressable,Implementation Approach (Implemented/Equivalent Alternative/Not Applicable - Documented),Implementation Status,Evidence Reference,Owner,Last Review Date
164.308(a)(1)(i),Security Rule - Administrative Safeguards,Risk Analysis,Required,,Not Started,,,
164.308(a)(1)(ii),Security Rule - Administrative Safeguards,Risk Management,Required,,Not Started,,,
164.308(a)(1)(iii),Security Rule - Administrative Safeguards,Sanction Policy,Required,,Not Started,,,
164.308(a)(1)(iv),Security Rule - Administrative Safeguards,Information System Activity Review,Required,,Not Started,,,
164.308(a)(2),Security Rule - Administrative Safeguards,Assigned Security Responsibility,Required,,Not Started,,,
164.308(a)(3)(i),Security Rule - Administrative Safeguards,Authorization and/or Supervision,Addressable,,Not Started,,,
164.308(a)(3)(ii),Security Rule - Administrative Safeguards,Workforce Clearance Procedure,Addressable,,Not Started,,,
164.308(a)(3)(iii),Security Rule - Administrative Safeguards,Termination Procedures,Addressable,,Not Started,,,
164.308(a)(4)(i),Security Rule - Administrative Safeguards,Isolating Health Care Clearinghouse Functions,Required,,Not Started,,,
164.308(a)(4)(ii),Security Rule - Administrative Safeguards,Access Authorization,Addressable,,Not Started,,,
164.308(a)(4)(iii),Security Rule - Administrative Safeguards,Access Establishment and Modification,Addressable,,Not Started,,,
164.308(a)(5)(i),Security Rule - Administrative Safeguards,Security Reminders,Addressable,,Not Started,,,
164.308(a)(5)(ii),Security Rule - Administrative Safeguards,Protection from Malicious Software,Addressable,,Not Started,,,
164.308(a)(5)(iii),Security Rule - Administrative Safeguards,Log-in Monitoring,Addressable,,Not Started,,,
164.308(a)(5)(iv),Security Rule - Administrative Safeguards,Password Management,Addressable,,Not Started,,,
164.308(a)(6)(i),Security Rule - Administrative Safeguards,Security Incident Procedures - Response and Reporting,Required,,Not Started,,,
164.308(a)(7)(i),Security Rule - Administrative Safeguards,Data Backup Plan,Required,,Not Started,,,
164.308(a)(7)(ii),Security Rule - Administrative Safeguards,Disaster Recovery Plan,Required,,Not Started,,,
164.308(a)(7)(iii),Security Rule - Administrative Safeguards,Emergency Mode Operation Plan,Required,,Not Started,,,
164.308(a)(7)(iv),Security Rule - Administrative Safeguards,Testing and Revision Procedures,Addressable,,Not Started,,,
164.308(a)(7)(v),Security Rule - Administrative Safeguards,Applications and Data Criticality Analysis,Addressable,,Not Started,,,
164.308(a)(8),Security Rule - Administrative Safeguards,Evaluation,Required,,Not Started,,,
164.308(b)(1),Security Rule - Administrative Safeguards,Business Associate Contracts and Other Arrangements,Required,,Not Started,,,
164.310(a)(1)(i),Security Rule - Physical Safeguards,Contingency Operations,Addressable,,Not Started,,,
164.310(a)(1)(ii),Security Rule - Physical Safeguards,Facility Security Plan,Addressable,,Not Started,,,
164.310(a)(1)(iii),Security Rule - Physical Safeguards,Access Control and Validation Procedures,Addressable,,Not Started,,,
164.310(a)(1)(iv),Security Rule - Physical Safeguards,Maintenance Records,Addressable,,Not Started,,,
164.310(b),Security Rule - Physical Safeguards,Workstation Use,Required,,Not Started,,,
164.310(c),Security Rule - Physical Safeguards,Workstation Security,Required,,Not Started,,,
164.310(d)(1)(i),Security Rule - Physical Safeguards,Disposal,Required,,Not Started,,,
164.310(d)(1)(ii),Security Rule - Physical Safeguards,Media Re-use,Required,,Not Started,,,
164.310(d)(1)(iii),Security Rule - Physical Safeguards,Accountability,Addressable,,Not Started,,,
164.310(d)(1)(iv),Security Rule - Physical Safeguards,Data Backup and Storage,Addressable,,Not Started,,,
164.312(a)(1)(i),Security Rule - Technical Safeguards,Unique User Identification,Required,,Not Started,,,
164.312(a)(1)(ii),Security Rule - Technical Safeguards,Emergency Access Procedure,Required,,Not Started,,,
164.312(a)(1)(iii),Security Rule - Technical Safeguards,Automatic Logoff,Addressable,,Not Started,,,
164.312(a)(1)(iv),Security Rule - Technical Safeguards,Encryption and Decryption,Addressable,,Not Started,,,
164.312(b),Security Rule - Technical Safeguards,Audit Controls,Required,,Not Started,,,
164.312(c)(1)(i),Security Rule - Technical Safeguards,Mechanism to Authenticate ePHI,Addressable,,Not Started,,,
164.312(d),Security Rule - Technical Safeguards,Person or Entity Authentication,Required,,Not Started,,,
164.312(e)(1)(i),Security Rule - Technical Safeguards,Integrity Controls (Transmission Security),Addressable,,Not Started,,,
164.312(e)(1)(ii),Security Rule - Technical Safeguards,Encryption (Transmission Security),Addressable,,Not Started,,,
164.314(a)(1)(i),Security Rule - Organizational Requirements,Business Associate Contracts,Required,,Not Started,,,
164.314(a)(1)(ii),Security Rule - Organizational Requirements,Other Arrangements,Required,,Not Started,,,
164.314(b)(1)(i),Security Rule - Organizational Requirements,Requirements for Group Health Plans,Required,,Not Started,,,
164.316(a),Security Rule - Policies and Procedures,Policies and Procedures,Required,,Not Started,,,
164.316(b)(1)(i),Security Rule - Policies and Procedures,Documentation - Time Limit,Required,,Not Started,,,
164.316(b)(1)(ii),Security Rule - Policies and Procedures,Documentation - Availability,Required,,Not Started,,,
164.316(b)(1)(iii),Security Rule - Policies and Procedures,Documentation - Updates,Required,,Not Started,,,
164.502(a),Privacy Rule,Permitted Uses and Disclosures,Required,,Not Started,,,
164.502(b) / 164.514(d),Privacy Rule,Minimum Necessary Standard,Required,,Not Started,,,
164.508,Privacy Rule,Authorization for Uses and Disclosures,Required,,Not Started,,,
164.520,Privacy Rule,Notice of Privacy Practices,Required,,Not Started,,,
164.524,Privacy Rule,Right of Access,Required,,Not Started,,,
164.526,Privacy Rule,Right to Amend,Required,,Not Started,,,
164.528,Privacy Rule,Accounting of Disclosures,Required,,Not Started,,,
164.502(e) / 164.504(e),Privacy Rule,Business Associate Requirements,Required,,Not Started,,,
164.400-414,Breach Notification Rule,"Breach Notification to Individuals, HHS, and Media",Required,,Not Started,,,
