Practice ID,Domain,Level,Title,Implementation Status (Met/Not Met/Not Applicable),SPRS Score Impact,Evidence Reference,Owner,Last Review Date
AC.L2-3.1.1,Access Control,"1, 2",Authorized access control,Not Met,,,,
AC.L2-3.1.2,Access Control,"1, 2",Transaction and function control,Not Met,,,,
AC.L2-3.1.3,Access Control,2,Control CUI flow,Not Met,,,,
AC.L2-3.1.4,Access Control,2,Separation of duties,Not Met,,,,
AC.L2-3.1.5,Access Control,2,Least privilege,Not Met,,,,
AC.L2-3.1.6,Access Control,2,Non-privileged account use,Not Met,,,,
AC.L2-3.1.7,Access Control,2,Privileged function restriction,Not Met,,,,
AC.L2-3.1.8,Access Control,2,Unsuccessful logon attempts,Not Met,,,,
AC.L2-3.1.9,Access Control,2,Privacy and security notices,Not Met,,,,
AC.L2-3.1.10,Access Control,2,Session lock,Not Met,,,,
AC.L2-3.1.11,Access Control,2,Session termination,Not Met,,,,
AC.L2-3.1.12,Access Control,2,Remote access monitoring,Not Met,,,,
AC.L2-3.1.13,Access Control,2,Remote access confidentiality,Not Met,,,,
AC.L2-3.1.14,Access Control,2,Route remote access,Not Met,,,,
AC.L2-3.1.15,Access Control,2,Authorize remote privileged commands,Not Met,,,,
AC.L2-3.1.16,Access Control,2,Wireless access authorization,Not Met,,,,
AC.L2-3.1.17,Access Control,2,Wireless access protection,Not Met,,,,
AC.L2-3.1.18,Access Control,2,Mobile device connection control,Not Met,,,,
AC.L2-3.1.19,Access Control,2,Encrypt CUI on mobile devices,Not Met,,,,
AC.L2-3.1.20,Access Control,"1, 2",External system connections,Not Met,,,,
AC.L2-3.1.21,Access Control,2,Portable storage on external systems,Not Met,,,,
AC.L2-3.1.22,Access Control,"1, 2",Publicly accessible content control,Not Met,,,,
AT.L2-3.2.1,Awareness and Training,2,Security awareness,Not Met,,,,
AT.L2-3.2.2,Awareness and Training,2,Role-based training,Not Met,,,,
AT.L2-3.2.3,Awareness and Training,2,Insider threat awareness,Not Met,,,,
AU.L2-3.3.1,Audit and Accountability,2,Audit log creation and retention,Not Met,,,,
AU.L2-3.3.2,Audit and Accountability,2,User accountability,Not Met,,,,
AU.L2-3.3.3,Audit and Accountability,2,Review and update logged events,Not Met,,,,
AU.L2-3.3.4,Audit and Accountability,2,Audit logging failure alerts,Not Met,,,,
AU.L2-3.3.5,Audit and Accountability,2,Audit correlation,Not Met,,,,
AU.L2-3.3.6,Audit and Accountability,2,Audit reduction and reporting,Not Met,,,,
AU.L2-3.3.7,Audit and Accountability,2,Time stamp synchronization,Not Met,,,,
AU.L2-3.3.8,Audit and Accountability,2,Protect audit information,Not Met,,,,
AU.L2-3.3.9,Audit and Accountability,2,Limit audit management privileges,Not Met,,,,
CM.L2-3.4.1,Configuration Management,2,Baseline configurations and inventories,Not Met,,,,
CM.L2-3.4.2,Configuration Management,2,Security configuration settings,Not Met,,,,
CM.L2-3.4.3,Configuration Management,2,Track and approve changes,Not Met,,,,
CM.L2-3.4.4,Configuration Management,2,Security impact analysis,Not Met,,,,
CM.L2-3.4.5,Configuration Management,2,Access restrictions for change,Not Met,,,,
CM.L2-3.4.6,Configuration Management,2,Least functionality,Not Met,,,,
CM.L2-3.4.7,Configuration Management,2,Restrict nonessential functionality,Not Met,,,,
CM.L2-3.4.8,Configuration Management,2,Software execution policy,Not Met,,,,
CM.L2-3.4.9,Configuration Management,2,User-installed software control,Not Met,,,,
IA.L2-3.5.1,Identification and Authentication,"1, 2",System identification,Not Met,,,,
IA.L2-3.5.2,Identification and Authentication,"1, 2",Authentication,Not Met,,,,
IA.L2-3.5.3,Identification and Authentication,2,Multifactor authentication,Not Met,,,,
IA.L2-3.5.4,Identification and Authentication,2,Replay-resistant authentication,Not Met,,,,
IA.L2-3.5.5,Identification and Authentication,2,Identifier reuse prevention,Not Met,,,,
IA.L2-3.5.6,Identification and Authentication,2,Disable inactive identifiers,Not Met,,,,
IA.L2-3.5.7,Identification and Authentication,2,Password complexity,Not Met,,,,
IA.L2-3.5.8,Identification and Authentication,2,Password reuse prohibition,Not Met,,,,
IA.L2-3.5.9,Identification and Authentication,2,Temporary passwords,Not Met,,,,
IA.L2-3.5.10,Identification and Authentication,2,Cryptographically-protected passwords,Not Met,,,,
IA.L2-3.5.11,Identification and Authentication,2,Obscure authentication feedback,Not Met,,,,
IR.L2-3.6.1,Incident Response,2,Incident-handling capability,Not Met,,,,
IR.L2-3.6.2,Incident Response,2,Incident tracking and reporting,Not Met,,,,
IR.L2-3.6.3,Incident Response,2,Test incident response,Not Met,,,,
MA.L2-3.7.1,Maintenance,2,Perform system maintenance,Not Met,,,,
MA.L2-3.7.2,Maintenance,2,Control maintenance tools,Not Met,,,,
MA.L2-3.7.3,Maintenance,2,Sanitize equipment for off-site maintenance,Not Met,,,,
MA.L2-3.7.4,Maintenance,2,Check maintenance media,Not Met,,,,
MA.L2-3.7.5,Maintenance,2,Nonlocal maintenance authentication,Not Met,,,,
MA.L2-3.7.6,Maintenance,2,Supervise unauthorized maintenance personnel,Not Met,,,,
MP.L2-3.8.1,Media Protection,2,Protect system media,Not Met,,,,
MP.L2-3.8.2,Media Protection,2,Limit media access,Not Met,,,,
MP.L2-3.8.3,Media Protection,"1, 2",Sanitize or destroy media,Not Met,,,,
MP.L2-3.8.4,Media Protection,2,Mark CUI media,Not Met,,,,
MP.L2-3.8.5,Media Protection,2,Media transport accountability,Not Met,,,,
MP.L2-3.8.6,Media Protection,2,Media transport confidentiality,Not Met,,,,
MP.L2-3.8.7,Media Protection,2,Removable media control,Not Met,,,,
MP.L2-3.8.8,Media Protection,2,Prohibit unowned portable storage,Not Met,,,,
MP.L2-3.8.9,Media Protection,2,Protect backup confidentiality,Not Met,,,,
PS.L2-3.9.1,Personnel Security,2,Personnel screening,Not Met,,,,
PS.L2-3.9.2,Personnel Security,2,Personnel actions protection,Not Met,,,,
PE.L2-3.10.1,Physical Protection,"1, 2",Limit physical access,Not Met,,,,
PE.L2-3.10.2,Physical Protection,2,Protect physical facility,Not Met,,,,
PE.L2-3.10.3,Physical Protection,"1, 2",Escort visitors,Not Met,,,,
PE.L2-3.10.4,Physical Protection,"1, 2",Physical access logs,Not Met,,,,
PE.L2-3.10.5,Physical Protection,"1, 2",Physical access devices,Not Met,,,,
PE.L2-3.10.6,Physical Protection,2,Alternate work site safeguards,Not Met,,,,
RA.L2-3.11.1,Risk Assessment,2,Periodic risk assessment,Not Met,,,,
RA.L2-3.11.2,Risk Assessment,2,Vulnerability scanning,Not Met,,,,
RA.L2-3.11.3,Risk Assessment,2,Vulnerability remediation,Not Met,,,,
CA.L2-3.12.1,Security Assessment,2,Periodic control assessment,Not Met,,,,
CA.L2-3.12.2,Security Assessment,2,Plans of action,Not Met,,,,
CA.L2-3.12.3,Security Assessment,2,Continuous control monitoring,Not Met,,,,
CA.L2-3.12.4,Security Assessment,2,System security plan,Not Met,,,,
SC.L2-3.13.1,System and Communications Protection,"1, 2",Boundary protection,Not Met,,,,
SC.L2-3.13.2,System and Communications Protection,2,Secure engineering principles,Not Met,,,,
SC.L2-3.13.3,System and Communications Protection,2,Separate user and system functionality,Not Met,,,,
SC.L2-3.13.4,System and Communications Protection,2,Prevent unauthorized information transfer,Not Met,,,,
SC.L2-3.13.5,System and Communications Protection,"1, 2",Publicly accessible subnetworks,Not Met,,,,
SC.L2-3.13.6,System and Communications Protection,2,Deny-by-default network traffic,Not Met,,,,
SC.L2-3.13.7,System and Communications Protection,2,Prevent split tunneling,Not Met,,,,
SC.L2-3.13.8,System and Communications Protection,2,Transmission confidentiality,Not Met,,,,
SC.L2-3.13.9,System and Communications Protection,2,Terminate network connections,Not Met,,,,
SC.L2-3.13.10,System and Communications Protection,2,Cryptographic key management,Not Met,,,,
SC.L2-3.13.11,System and Communications Protection,2,FIPS-validated cryptography,Not Met,,,,
SC.L2-3.13.12,System and Communications Protection,2,Collaborative computing devices,Not Met,,,,
SC.L2-3.13.13,System and Communications Protection,2,Mobile code control,Not Met,,,,
SC.L2-3.13.14,System and Communications Protection,2,VoIP control,Not Met,,,,
SC.L2-3.13.15,System and Communications Protection,2,Communications session authenticity,Not Met,,,,
SC.L2-3.13.16,System and Communications Protection,2,CUI at rest,Not Met,,,,
SI.L2-3.14.1,System and Information Integrity,"1, 2",Identify and correct system flaws,Not Met,,,,
