Criteria ID,Category,Title,In Scope (Y/N),Control Description,Implementation Status,Evidence Reference,Owner,Last Review Date
CC1.1,Common Criteria - Control Environment,Commitment to integrity and ethical values,Y,,Not Started,,,
CC1.2,Common Criteria - Control Environment,Board independence and oversight,Y,,Not Started,,,
CC1.3,Common Criteria - Control Environment,Structure and reporting lines,Y,,Not Started,,,
CC1.4,Common Criteria - Control Environment,Commitment to competence,Y,,Not Started,,,
CC1.5,Common Criteria - Control Environment,Accountability,Y,,Not Started,,,
CC2.1,Common Criteria - Communication and Information,Relevant quality information,Y,,Not Started,,,
CC2.2,Common Criteria - Communication and Information,Internal communication,Y,,Not Started,,,
CC2.3,Common Criteria - Communication and Information,External communication,Y,,Not Started,,,
CC3.1,Common Criteria - Risk Assessment,Objectives with clarity,Y,,Not Started,,,
CC3.2,Common Criteria - Risk Assessment,Risk identification and analysis,Y,,Not Started,,,
CC3.3,Common Criteria - Risk Assessment,Fraud risk consideration,Y,,Not Started,,,
CC3.4,Common Criteria - Risk Assessment,Assessing changes,Y,,Not Started,,,
CC4.1,Common Criteria - Monitoring Activities,Ongoing/separate evaluations,Y,,Not Started,,,
CC4.2,Common Criteria - Monitoring Activities,Evaluating and communicating deficiencies,Y,,Not Started,,,
CC5.1,Common Criteria - Control Activities,Selecting control activities,Y,,Not Started,,,
CC5.2,Common Criteria - Control Activities,Technology general controls,Y,,Not Started,,,
CC5.3,Common Criteria - Control Activities,Policies and procedures deployment,Y,,Not Started,,,
CC6.1,Common Criteria - Logical and Physical Access,Logical access security measures,Y,,Not Started,,,
CC6.2,Common Criteria - Logical and Physical Access,User registration and authorization,Y,,Not Started,,,
CC6.3,Common Criteria - Logical and Physical Access,Role-based access management,Y,,Not Started,,,
CC6.4,Common Criteria - Logical and Physical Access,Physical access restriction,Y,,Not Started,,,
CC6.5,Common Criteria - Logical and Physical Access,Discontinuing protections,Y,,Not Started,,,
CC6.6,Common Criteria - Logical and Physical Access,Boundary protection,Y,,Not Started,,,
CC6.7,Common Criteria - Logical and Physical Access,Data transmission restriction,Y,,Not Started,,,
CC6.8,Common Criteria - Logical and Physical Access,Malicious software prevention,Y,,Not Started,,,
CC7.1,Common Criteria - System Operations,Vulnerability detection,Y,,Not Started,,,
CC7.2,Common Criteria - System Operations,Anomaly monitoring,Y,,Not Started,,,
CC7.3,Common Criteria - System Operations,Security incident evaluation,Y,,Not Started,,,
CC7.4,Common Criteria - System Operations,Incident response,Y,,Not Started,,,
CC7.5,Common Criteria - System Operations,Recovery from incidents,Y,,Not Started,,,
CC8.1,Common Criteria - Change Management,Change management process,Y,,Not Started,,,
CC9.1,Common Criteria - Risk Mitigation,Business disruption risk mitigation,Y,,Not Started,,,
CC9.2,Common Criteria - Risk Mitigation,Vendor and business partner risk,Y,,Not Started,,,
A1.1,Availability,Capacity management,,,Not Started,,,
A1.2,Availability,Environmental protections and recovery infrastructure,,,Not Started,,,
A1.3,Availability,Recovery plan testing,,,Not Started,,,
C1.1,Confidentiality,Confidential information identification,,,Not Started,,,
C1.2,Confidentiality,Confidential information disposal,,,Not Started,,,
PI1.1,Processing Integrity,Processing integrity objectives,,,Not Started,,,
PI1.2,Processing Integrity,System input controls,,,Not Started,,,
PI1.3,Processing Integrity,System processing controls,,,Not Started,,,
PI1.4,Processing Integrity,System output controls,,,Not Started,,,
PI1.5,Processing Integrity,Storage of inputs and outputs,,,Not Started,,,
