Article/Ref,Category,Title,Applicable (Y/N),Implementation Status,Evidence Reference,Owner,Last Review Date
Art. 5(1)(a),Data Protection Principles,"Lawfulness, fairness and transparency",,Not Started,,,
Art. 5(1)(b),Data Protection Principles,Purpose limitation,,Not Started,,,
Art. 5(1)(c),Data Protection Principles,Data minimization,,Not Started,,,
Art. 5(1)(d),Data Protection Principles,Accuracy,,Not Started,,,
Art. 5(1)(e),Data Protection Principles,Storage limitation,,Not Started,,,
Art. 5(1)(f),Data Protection Principles,Integrity and confidentiality,,Not Started,,,
Art. 5(2),Data Protection Principles,Accountability,,Not Started,,,
Art. 6(1)(a),Lawful Basis for Processing,Consent,,Not Started,,,
Art. 6(1)(b),Lawful Basis for Processing,Contract,,Not Started,,,
Art. 6(1)(c),Lawful Basis for Processing,Legal obligation,,Not Started,,,
Art. 6(1)(d),Lawful Basis for Processing,Vital interests,,Not Started,,,
Art. 6(1)(e),Lawful Basis for Processing,Public task,,Not Started,,,
Art. 6(1)(f),Lawful Basis for Processing,Legitimate interests,,Not Started,,,
Art. 7(1)-(2),Consent,Conditions for valid consent,,Not Started,,,
Art. 7(3),Consent,Right to withdraw consent,,Not Started,,,
Art. 8,Consent,Conditions applicable to a child's consent,,Not Started,,,
Art. 9(1),Special Category Data,Prohibition on processing special categories of data,,Not Started,,,
Art. 9(2),Special Category Data,Conditions lifting the prohibition,,Not Started,,,
Art. 10,Special Category Data,Processing of criminal conviction and offence data,,Not Started,,,
Art. 12,Data Subject Rights,Transparent information and communication,,Not Started,,,
Art. 13,Data Subject Rights,Information to be provided (data collected from the subject),,Not Started,,,
Art. 14,Data Subject Rights,Information to be provided (data not obtained from the subject),,Not Started,,,
Art. 15,Data Subject Rights,Right of access,,Not Started,,,
Art. 16,Data Subject Rights,Right to rectification,,Not Started,,,
Art. 17,Data Subject Rights,Right to erasure ('right to be forgotten'),,Not Started,,,
Art. 18,Data Subject Rights,Right to restriction of processing,,Not Started,,,
Art. 19,Data Subject Rights,Notification obligation regarding rectification erasure or restriction,,Not Started,,,
Art. 20,Data Subject Rights,Right to data portability,,Not Started,,,
Art. 21,Data Subject Rights,Right to object,,Not Started,,,
Art. 22,Data Subject Rights,"Automated individual decision-making, including profiling",,Not Started,,,
Art. 24,Controller & Processor Obligations,Responsibility of the controller,,Not Started,,,
Art. 25,Controller & Processor Obligations,Data protection by design and by default,,Not Started,,,
Art. 26,Controller & Processor Obligations,Joint controllers,,Not Started,,,
Art. 27,Controller & Processor Obligations,Representatives not established in the Union,,Not Started,,,
Art. 28,Controller & Processor Obligations,Processor obligations and data processing agreements,,Not Started,,,
Art. 29,Controller & Processor Obligations,Processing under the authority of the controller or processor,,Not Started,,,
Art. 30,Controller & Processor Obligations,Records of processing activities (RoPA),,Not Started,,,
Art. 32,Security of Processing,Security of processing,,Not Started,,,
Art. 33,Data Breach Notification,Notification to the supervisory authority,,Not Started,,,
Art. 34,Data Breach Notification,Communication to the data subject,,Not Started,,,
Art. 35,Data Protection Impact Assessment,DPIA requirement,,Not Started,,,
Art. 36,Data Protection Impact Assessment,Prior consultation,,Not Started,,,
Art. 37,Data Protection Officer,Designation of the DPO,,Not Started,,,
Art. 38,Data Protection Officer,Position of the DPO,,Not Started,,,
Art. 39,Data Protection Officer,Tasks of the DPO,,Not Started,,,
Art. 44,International Data Transfers,General principle for transfers,,Not Started,,,
Art. 45,International Data Transfers,Adequacy decisions,,Not Started,,,
Art. 46,International Data Transfers,Appropriate safeguards (e.g. Standard Contractual Clauses),,Not Started,,,
Art. 47,International Data Transfers,Binding Corporate Rules (BCRs),,Not Started,,,
Art. 49,International Data Transfers,Derogations for specific situations,,Not Started,,,
