Code,Name,Description
AIKIDO,Aikido,Control for Aikido
DCF-4,Version Control System,"Optimized Payments uses a version control system to manage source code, change documentation and tracking, release labeling, and other change management tasks. Access to the version control system is restricted to authorized personnel."
DCF-5,Change Review Process,Changes are peer-reviewed and approved prior to deployment by an individual different from the developer to maintain segregation of duties. Review requirements are enforced through automated mechanisms such as branch protection settings in the production code repository.
DCF-6,Production Changes Restricted,Access to make changes in production environments is restricted to authorized personnel in accordance with segregation of duties principles and the company's documented policies and procedures.
DCF-7,Separate Environments,"Pre-production environments (e.g., development, testing, etc.) are separated from production environments and the separation is enforced with access controls."
DCF-8,External Communication Channels,"Optimized Payments provides external communication mechanisms for customers and third parties (e.g., communication features, support portal, external ticketing system, etc.) to report complaints, failures, bugs, incidents, vulnerabilities, requests for information, etc. Customer communications are responded to within defined SLAs."
DCF-9,Internal Communication Channels,"Internal communication channels are in place for employees to report failures, events, incidents, policy violations, concerns, and other issues to company management, including anonymous reporting channels if applicable."
DCF-10,Access Control Policy,Optimized Payments has developed and documented a policy that outlines requirements for access control.
DCF-11,Periodic Access Reviews,"Management performs user access reviews periodically (as defined by policy and compliance requirements) to validate user accounts, including third party or vendor accounts, and their associated privileges remain appropriate. The review includes validation of logical and physical access as necessary. Changes resulting from the review, if any, are documented and implemented."
DCF-12,Baseline Configuration and Hardening Standards,"Optimized Payments has identified and documented baseline security configuration standards for all system components in accordance with industry-accepted hardening standards or vendor recommendations. These standards are reviewed periodically and updated as needed (e.g., when vulnerabilities are identified) and verified to be in place before or immediately after a production system component is installed or modified (e.g., through infrastructure as code, configuration checklists, etc.)."
DCF-13,Information Security Policies,Optimized Payments has defined and documented an information security policy and other topic-specific policies as needed to support the functioning of internal control.
DCF-14,Organizational Chart,"An organizational chart is in place to describe the organizational structure and reporting lines. The chart is available to all employees (e.g., through the company's HRMS, intranets, etc.) and is updated upon changes to the organizational structure."
DCF-15,Risk Assessment Policy,"Optimized Payments has defined and documented a process for risk assessment and risk management that outlines the organization's approach for identifying risks and assigning risk owners, the risk acceptance criteria, and the approach for evaluating and treating risks based on the defined criteria."
DCF-16,Periodic Risk Assessment,"Optimized Payments conducts risks assessments periodically as required by company policy and compliance requirements. The risk assessment includes consideration of threats and vulnerabilities and an evaluation of the likelihood and impact for each risk. A risk owner is assigned to each risk, and every risk is assigned a risk treatment option. Results of the risk assessment are documented (e.g., in a risk register)."
DCF-17,Risk Treatment Plan,Optimized Payments's management has documented a risk treatment plan to formally manage risks identified in risk assessment activities.
DCF-18,Vulnerability Scans,Optimized Payments conducts vulnerability scans of the production environment as dictated by company policy and compliance requirements. Results are reviewed by company personnel and vulnerabilities are tracked to resolution in accordance with company policies.
