Objective ID,Domain,Title,Evidence Reviewed,Conformance (Conform/Nonconform/Partial),Finding,Corrective Action Ref,Auditor,Audit Date
EDM01,EDM,Ensured Governance Framework Setting and Maintenance,,,,,,
EDM02,EDM,Ensured Benefits Delivery,,,,,,
EDM03,EDM,Ensured Risk Optimization,,,,,,
EDM04,EDM,Ensured Resource Optimization,,,,,,
EDM05,EDM,Ensured Stakeholder Engagement,,,,,,
APO01,APO,Managed I&T Management Framework,,,,,,
APO02,APO,Managed Strategy,,,,,,
APO03,APO,Managed Enterprise Architecture,,,,,,
APO04,APO,Managed Innovation,,,,,,
APO05,APO,Managed Portfolio,,,,,,
APO06,APO,Managed Budget and Costs,,,,,,
APO07,APO,Managed Human Resources,,,,,,
APO08,APO,Managed Relationships,,,,,,
APO09,APO,Managed Service Agreements,,,,,,
APO10,APO,Managed Vendors,,,,,,
APO11,APO,Managed Quality,,,,,,
APO12,APO,Managed Risk,,,,,,
APO13,APO,Managed Security,,,,,,
APO14,APO,Managed Data,,,,,,
BAI01,BAI,Managed Programs,,,,,,
BAI02,BAI,Managed Requirements Definition,,,,,,
BAI03,BAI,Managed Solutions Identification and Build,,,,,,
BAI04,BAI,Managed Availability and Capacity,,,,,,
BAI05,BAI,Managed Organizational Change,,,,,,
BAI06,BAI,Managed IT Changes,,,,,,
BAI07,BAI,Managed IT Change Acceptance and Transitioning,,,,,,
BAI08,BAI,Managed Knowledge,,,,,,
BAI09,BAI,Managed Assets,,,,,,
BAI10,BAI,Managed Configuration,,,,,,
BAI11,BAI,Managed Projects,,,,,,
DSS01,DSS,Managed Operations,,,,,,
DSS02,DSS,Managed Service Requests and Incidents,,,,,,
DSS03,DSS,Managed Problems,,,,,,
DSS04,DSS,Managed Continuity,,,,,,
DSS05,DSS,Managed Security Services,,,,,,
DSS06,DSS,Managed Business Process Controls,,,,,,
MEA01,MEA,Managed Performance and Conformance Monitoring,,,,,,
MEA02,MEA,Managed System of Internal Control,,,,,,
MEA03,MEA,Managed Compliance With External Requirements,,,,,,
MEA04,MEA,Managed Assurance,,,,,,
