Article/Ref,Category,Title,Description
Art. 5(1)(a),Data Protection Principles,"Lawfulness, fairness and transparency",Personal data must be processed lawfully fairly and in a transparent manner in relation to the data subject.
Art. 5(1)(b),Data Protection Principles,Purpose limitation,Personal data must be collected for specified explicit and legitimate purposes and not further processed in a manner incompatible with those purposes.
Art. 5(1)(c),Data Protection Principles,Data minimization,Personal data must be adequate relevant and limited to what is necessary in relation to the purposes for which it is processed.
Art. 5(1)(d),Data Protection Principles,Accuracy,Personal data must be accurate and where necessary kept up to date; inaccurate data must be erased or rectified without delay.
Art. 5(1)(e),Data Protection Principles,Storage limitation,Personal data must be kept in a form permitting identification of data subjects for no longer than is necessary for the purposes for which it is processed.
Art. 5(1)(f),Data Protection Principles,Integrity and confidentiality,"Personal data must be processed with appropriate security, including protection against unauthorized or unlawful processing and against accidental loss destruction or damage."
Art. 5(2),Data Protection Principles,Accountability,The controller is responsible for and must be able to demonstrate compliance with the principles set out in Article 5(1).
Art. 6(1)(a),Lawful Basis for Processing,Consent,The data subject has given consent to the processing of their personal data for one or more specific purposes.
Art. 6(1)(b),Lawful Basis for Processing,Contract,Processing is necessary for the performance of a contract with the data subject or to take steps prior to entering into a contract.
Art. 6(1)(c),Lawful Basis for Processing,Legal obligation,Processing is necessary for compliance with a legal obligation to which the controller is subject.
Art. 6(1)(d),Lawful Basis for Processing,Vital interests,Processing is necessary to protect the vital interests of the data subject or of another natural person.
Art. 6(1)(e),Lawful Basis for Processing,Public task,Processing is necessary for the performance of a task carried out in the public interest or in the exercise of official authority vested in the controller.
Art. 6(1)(f),Lawful Basis for Processing,Legitimate interests,"Processing is necessary for the legitimate interests of the controller or a third party, except where overridden by the interests or fundamental rights of the data subject."
Art. 7(1)-(2),Consent,Conditions for valid consent,"The controller must be able to demonstrate that consent was given, and requests for consent must be presented in a clear and plain manner distinguishable from other matters."
Art. 7(3),Consent,Right to withdraw consent,The data subject has the right to withdraw consent at any time and it must be as easy to withdraw consent as it was to give it.
Art. 8,Consent,Conditions applicable to a child's consent,"Sets the age, as low as 13 and defaulting to 16, below which parental or guardian consent is required for information society services offered directly to a child."
Art. 9(1),Special Category Data,Prohibition on processing special categories of data,"Processing of data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, and the processing of genetic, biometric, or health data or data concerning a person's sex life or sexual orientation, is prohibited by default."
Art. 9(2),Special Category Data,Conditions lifting the prohibition,Lists the exceptions permitting special category processing such as explicit consent; employment and social security law; vital interests; legal claims; and substantial public interest.
Art. 10,Special Category Data,Processing of criminal conviction and offence data,Processing of personal data relating to criminal convictions and offences is only permitted under the control of an official authority or when authorized by law with appropriate safeguards.
Art. 12,Data Subject Rights,Transparent information and communication,The controller must provide information and communications to data subjects in a concise transparent intelligible and easily accessible form using clear and plain language.
Art. 13,Data Subject Rights,Information to be provided (data collected from the subject),Specifies the information a controller must give a data subject at the time personal data is collected directly from them.
Art. 14,Data Subject Rights,Information to be provided (data not obtained from the subject),Specifies the information a controller must give when personal data has been obtained from a source other than the data subject.
Art. 15,Data Subject Rights,Right of access,The data subject has the right to obtain confirmation of and access to their personal data along with specified supplementary information.
Art. 16,Data Subject Rights,Right to rectification,The data subject has the right to have inaccurate personal data corrected and incomplete personal data completed.
Art. 17,Data Subject Rights,Right to erasure ('right to be forgotten'),The data subject has the right to obtain erasure of personal data without undue delay where one of the specified grounds applies.
Art. 18,Data Subject Rights,Right to restriction of processing,The data subject has the right to obtain restriction of processing under specified circumstances such as contested accuracy.
Art. 19,Data Subject Rights,Notification obligation regarding rectification erasure or restriction,"The controller must communicate any rectification, erasure, or restriction to each recipient the data was disclosed to, unless this proves impossible or involves disproportionate effort."
Art. 20,Data Subject Rights,Right to data portability,"The data subject has the right to receive their personal data in a structured, commonly used, machine-readable format and to transmit it to another controller."
Art. 21,Data Subject Rights,Right to object,The data subject has the right to object at any time to processing based on legitimate interests or public task grounds or to processing for direct marketing purposes.
Art. 22,Data Subject Rights,"Automated individual decision-making, including profiling","The data subject has the right not to be subject to a decision based solely on automated processing, including profiling, that produces legal or similarly significant effects."
Art. 24,Controller & Processor Obligations,Responsibility of the controller,The controller must implement appropriate technical and organizational measures to ensure and be able to demonstrate that processing complies with the Regulation.
Art. 25,Controller & Processor Obligations,Data protection by design and by default,The controller must implement measures designed to give effect to data protection principles and by default limit processing to what is necessary for each specific purpose.
Art. 26,Controller & Processor Obligations,Joint controllers,Where two or more controllers jointly determine the purposes and means of processing they must transparently determine their respective responsibilities.
Art. 27,Controller & Processor Obligations,Representatives not established in the Union,"Controllers or processors not established in the Union but subject to it under Article 3(2) must designate, in writing, a representative in the Union."
Art. 28,Controller & Processor Obligations,Processor obligations and data processing agreements,Processing carried out by a processor must be governed by a binding contract or data processing agreement setting out the subject matter duration nature and purpose of processing and the obligations and rights of the parties.
Art. 29,Controller & Processor Obligations,Processing under the authority of the controller or processor,Any person acting under the authority of the controller or processor who has access to personal data may only process it on instructions from the controller unless required to do so by law.
Art. 30,Controller & Processor Obligations,Records of processing activities (RoPA),Controllers and processors must maintain a written record of the processing activities carried out under their responsibility.
Art. 32,Security of Processing,Security of processing,"Implement appropriate technical and organizational measures, such as pseudonymization, encryption, and resilience testing, to ensure a level of security appropriate to the risk."
Art. 33,Data Breach Notification,Notification to the supervisory authority,"The controller must notify a personal data breach to the competent supervisory authority without undue delay and, where feasible, within 72 hours of becoming aware of it."
Art. 34,Data Breach Notification,Communication to the data subject,The controller must communicate a personal data breach to affected data subjects without undue delay when the breach is likely to result in a high risk to their rights and freedoms.
Art. 35,Data Protection Impact Assessment,DPIA requirement,The controller must carry out a data protection impact assessment prior to processing that is likely to result in a high risk to the rights and freedoms of natural persons.
Art. 36,Data Protection Impact Assessment,Prior consultation,The controller must consult the supervisory authority prior to processing when a DPIA indicates a high residual risk in the absence of mitigating measures.
Art. 37,Data Protection Officer,Designation of the DPO,"A controller or processor must designate a DPO where required, such as for a public authority, large-scale systematic monitoring, or large-scale processing of special category data."
Art. 38,Data Protection Officer,Position of the DPO,"The DPO must be involved properly and in a timely manner in all data protection matters, be given adequate resources, report to the highest management level, and must not be dismissed or penalized for performing their duties."
Art. 39,Data Protection Officer,Tasks of the DPO,"DPO tasks include informing and advising on obligations, monitoring compliance, advising on DPIAs, and cooperating with and acting as the contact point for the supervisory authority."
Art. 44,International Data Transfers,General principle for transfers,Any transfer of personal data to a third country or international organization must comply with the conditions set out in Chapter V of the Regulation.
Art. 45,International Data Transfers,Adequacy decisions,Transfers may be made to a third country territory or sector that the European Commission has decided ensures an adequate level of data protection without needing further authorization.
Art. 46,International Data Transfers,"Appropriate safeguards (e.g. Standard Contractual Clauses)","Absent an adequacy decision, a transfer may proceed if the controller or processor has provided appropriate safeguards, such as Standard Contractual Clauses (SCCs)."
Art. 47,International Data Transfers,Binding Corporate Rules (BCRs),Approved Binding Corporate Rules allow intra-group transfers within a multinational organization subject to approval by a competent supervisory authority.
Art. 49,International Data Transfers,Derogations for specific situations,"Absent adequacy or appropriate safeguards, transfers may occur under specific derogations such as explicit consent, contract necessity, or important public interest reasons, as a last resort."
