Requirement ID,Category,Title,Evidence Reviewed,Readiness Finding (Ready/Not Ready/Partially Ready),Finding Detail,Exception/Gap Reference,Reviewer,Review Date
CAT-1,Impact Level Categorization,FIPS 199 Security Categorization,,,,,,
CAT-2,Impact Level Categorization,Baseline Selection,,,,,,
CAT-3,Impact Level Categorization,FedRAMP Tailored / LI-SaaS Eligibility,,,,,,
AUTH-1,Authorization Paths,JAB Provisional Authorization (P-ATO),,,,,,
AUTH-2,Authorization Paths,Agency Authorization (Agency ATO),,,,,,
AUTH-3,Authorization Paths,FedRAMP Tailored Authorization,,,,,,
AUTH-4,Authorization Paths,Agency/JAB Sponsorship Requirement,,,,,,
AUTH-5,Authorization Paths,FedRAMP Ready Entry Point,,,,,,
DOC-1,Required Documentation Artifacts,System Security Plan (SSP),,,,,,
DOC-2,Required Documentation Artifacts,Security Assessment Plan (SAP),,,,,,
DOC-3,Required Documentation Artifacts,Security Assessment Report (SAR),,,,,,
DOC-4,Required Documentation Artifacts,Plan of Action and Milestones (POA&M),,,,,,
DOC-5,Required Documentation Artifacts,Contingency Plan (CP) & IT Contingency Plan,,,,,,
DOC-6,Required Documentation Artifacts,Incident Response Plan (IRP),,,,,,
DOC-7,Required Documentation Artifacts,Configuration Management Plan (CMP),,,,,,
DOC-8,Required Documentation Artifacts,Rules of Behavior (RoB),,,,,,
DOC-9,Required Documentation Artifacts,Control Implementation Summary / Customer Responsibility Matrix,,,,,,
DOC-10,Required Documentation Artifacts,Continuous Monitoring Plan,,,,,,
3PAO-1,Third Party Assessment (3PAO),Independent Assessment Requirement,,,,,,
3PAO-2,Third Party Assessment (3PAO),3PAO Accreditation Verification,,,,,,
3PAO-3,Third Party Assessment (3PAO),Independent Annual Assessment,,,,,,
CONMON-1,Continuous Monitoring (ConMon),Monthly Vulnerability Scanning,,,,,,
CONMON-2,Continuous Monitoring (ConMon),Monthly POA&M Updates,,,,,,
CONMON-3,Continuous Monitoring (ConMon),Annual Security Assessment,,,,,,
CONMON-4,Continuous Monitoring (ConMon),Annual Penetration Test,,,,,,
CONMON-5,Continuous Monitoring (ConMon),Annual Contingency Plan Test,,,,,,
CONMON-6,Continuous Monitoring (ConMon),ConMon Deliverable Submission,,,,,,
SCR-1,Significant Change Management,Significant Change Request (SCR) Process,,,,,,
SCR-2,Significant Change Management,Change Impact Analysis,,,,,,
INC-1,Incident Reporting,US-CERT/CISA Incident Reporting Timeline,,,,,,
INC-2,Incident Reporting,Incident Reporting to Authorizing Officials,,,,,,
MKT-1,FedRAMP Marketplace,Marketplace Status Tracking,,,,,,
MKT-2,FedRAMP Marketplace,FedRAMP Ready Designation,,,,,,
MKT-3,FedRAMP Marketplace,Sustained Authorized Status,,,,,,
BND-1,Boundary & Data Flow Documentation,Authorization Boundary Diagram,,,,,,
BND-2,Boundary & Data Flow Documentation,Data Flow Diagram,,,,,,
BND-3,Boundary & Data Flow Documentation,Leveraged Authorizations & Interconnections,,,,,,
PS-1,Personnel Security,Personnel Screening for Federal Data Access,,,,,,
PS-2,Personnel Security,Foreign National / Access Restrictions,,,,,,
