Ref,Category,Title,Evidence Reviewed,Conformance (Compliant/Non-Compliant/Not Applicable),Finding,Corrective Action Reference,Auditor,Audit Date
Civ. Code 1798.100(a),Consumer Rights,Right to Know / Access,,,,,,
Civ. Code 1798.100(d),Consumer Rights,Right to Data Portability,,,,,,
Civ. Code 1798.105,Consumer Rights,Right to Delete,,,,,,
Civ. Code 1798.106,Consumer Rights,Right to Correct (CPRA),,,,,,
Civ. Code 1798.110,Consumer Rights,Right to Know Specific Pieces and Categories Collected,,,,,,
Civ. Code 1798.115,Consumer Rights,"Right to Know About Sale, Sharing, and Disclosure",,,,,,
Civ. Code 1798.120,Consumer Rights,Right to Opt-Out of Sale or Sharing,,,,,,
Civ. Code 1798.121,Consumer Rights,Right to Limit Use of Sensitive Personal Information (CPRA),,,,,,
Civ. Code 1798.125,Consumer Rights,Right to Non-Discrimination,,,,,,
Civ. Code 1798.100(b),Business Obligations,Notice at Collection,,,,,,
Civ. Code 1798.130,Business Obligations,Privacy Policy Requirements,,,,,,
Civ. Code 1798.135,Business Obligations,"""Do Not Sell or Share My Personal Info"" Link",,,,,,
Civ. Code 1798.135(b),Business Obligations,"Opt-Out Preference Signal (e.g., Global Privacy Control)",,,,,,
Civ. Code 1798.130(a)(6),Business Obligations,Verification of Consumer Requests,,,,,,
Civ. Code 1798.130(a)(2),Business Obligations,Response Timelines (45-Day Statutory Clock),,,,,,
Civ. Code 1798.130(a)(1),Business Obligations,Designated Methods for Submitting Requests,,,,,,
Civ. Code 1798.140(ac),Roles & Definitions,Definition: Business,,,,,,
Civ. Code 1798.140(ag),Roles & Definitions,Definition: Service Provider,,,,,,
Civ. Code 1798.140(j),Roles & Definitions,Definition: Contractor (CPRA),,,,,,
Civ. Code 1798.140(ai),Roles & Definitions,Definition: Third Party,,,,,,
Civ. Code 1798.140(v),Roles & Definitions,Definition: Sale,,,,,,
Civ. Code 1798.140(ah),Roles & Definitions,Definition: Sharing (CPRA),,,,,,
Civ. Code 1798.140(ae),Sensitive Personal Information,Definition: Sensitive Personal Information (CPRA),,,,,,
Civ. Code 1798.121,Sensitive Personal Information,Notice of Right to Limit Use of Sensitive Personal Information,,,,,,
Civ. Code 1798.100(c),Data Minimization,Data Minimization and Purpose Limitation (CPRA),,,,,,
Civ. Code 1798.100(a)(3),Data Minimization,Retention Limitation,,,,,,
Civ. Code 1798.100(d),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Service Providers and Contractors,,,,,,
Civ. Code 1798.140(ai)(2),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Third Parties,,,,,,
Civ. Code 1798.185(a)(15)(A),Risk Assessment & Cybersecurity Audits (CPRA),Annual Cybersecurity Audits for High-Risk Processing,,,,,,
Civ. Code 1798.185(a)(15)(B),Risk Assessment & Cybersecurity Audits (CPRA),Risk Assessments for High-Risk Processing,,,,,,
Civ. Code 1798.185(a)(16),Risk Assessment & Cybersecurity Audits (CPRA),Automated Decision-Making Technology (ADMT) Access and Opt-Out,,,,,,
Civ. Code 1798.150,Enforcement,Private Right of Action for Data Breaches,,,,,,
Civ. Code 1798.155,Enforcement,Administrative Enforcement by the CPPA and Attorney General,,,,,,
Civ. Code 1798.199.10-199.90,Enforcement,California Privacy Protection Agency (CPPA),,,,,,
Civ. Code 1798.175,Enforcement,Preemption of Conflicting Local Ordinances,,,,,,
Civ. Code 1798.192,Enforcement,Waiver Prohibition,,,,,,
Civ. Code 1798.145,Roles & Definitions,Exemptions,,,,,,
