Standard ID,Category,Title,Evidence Reviewed,Conformance (Effective/Partially Effective/Not Effective),Finding,Exception Reference,Auditor,Audit Date
164.308(a)(1)(i),Security Rule - Administrative Safeguards,Risk Analysis,,,,,,
164.308(a)(1)(ii),Security Rule - Administrative Safeguards,Risk Management,,,,,,
164.308(a)(1)(iii),Security Rule - Administrative Safeguards,Sanction Policy,,,,,,
164.308(a)(1)(iv),Security Rule - Administrative Safeguards,Information System Activity Review,,,,,,
164.308(a)(2),Security Rule - Administrative Safeguards,Assigned Security Responsibility,,,,,,
164.308(a)(3)(i),Security Rule - Administrative Safeguards,Authorization and/or Supervision,,,,,,
164.308(a)(3)(ii),Security Rule - Administrative Safeguards,Workforce Clearance Procedure,,,,,,
164.308(a)(3)(iii),Security Rule - Administrative Safeguards,Termination Procedures,,,,,,
164.308(a)(4)(i),Security Rule - Administrative Safeguards,Isolating Health Care Clearinghouse Functions,,,,,,
164.308(a)(4)(ii),Security Rule - Administrative Safeguards,Access Authorization,,,,,,
164.308(a)(4)(iii),Security Rule - Administrative Safeguards,Access Establishment and Modification,,,,,,
164.308(a)(5)(i),Security Rule - Administrative Safeguards,Security Reminders,,,,,,
164.308(a)(5)(ii),Security Rule - Administrative Safeguards,Protection from Malicious Software,,,,,,
164.308(a)(5)(iii),Security Rule - Administrative Safeguards,Log-in Monitoring,,,,,,
164.308(a)(5)(iv),Security Rule - Administrative Safeguards,Password Management,,,,,,
164.308(a)(6)(i),Security Rule - Administrative Safeguards,Security Incident Procedures - Response and Reporting,,,,,,
164.308(a)(7)(i),Security Rule - Administrative Safeguards,Data Backup Plan,,,,,,
164.308(a)(7)(ii),Security Rule - Administrative Safeguards,Disaster Recovery Plan,,,,,,
164.308(a)(7)(iii),Security Rule - Administrative Safeguards,Emergency Mode Operation Plan,,,,,,
164.308(a)(7)(iv),Security Rule - Administrative Safeguards,Testing and Revision Procedures,,,,,,
164.308(a)(7)(v),Security Rule - Administrative Safeguards,Applications and Data Criticality Analysis,,,,,,
164.308(a)(8),Security Rule - Administrative Safeguards,Evaluation,,,,,,
164.308(b)(1),Security Rule - Administrative Safeguards,Business Associate Contracts and Other Arrangements,,,,,,
164.310(a)(1)(i),Security Rule - Physical Safeguards,Contingency Operations,,,,,,
164.310(a)(1)(ii),Security Rule - Physical Safeguards,Facility Security Plan,,,,,,
164.310(a)(1)(iii),Security Rule - Physical Safeguards,Access Control and Validation Procedures,,,,,,
164.310(a)(1)(iv),Security Rule - Physical Safeguards,Maintenance Records,,,,,,
164.310(b),Security Rule - Physical Safeguards,Workstation Use,,,,,,
164.310(c),Security Rule - Physical Safeguards,Workstation Security,,,,,,
164.310(d)(1)(i),Security Rule - Physical Safeguards,Disposal,,,,,,
164.310(d)(1)(ii),Security Rule - Physical Safeguards,Media Re-use,,,,,,
164.310(d)(1)(iii),Security Rule - Physical Safeguards,Accountability,,,,,,
164.310(d)(1)(iv),Security Rule - Physical Safeguards,Data Backup and Storage,,,,,,
164.312(a)(1)(i),Security Rule - Technical Safeguards,Unique User Identification,,,,,,
164.312(a)(1)(ii),Security Rule - Technical Safeguards,Emergency Access Procedure,,,,,,
164.312(a)(1)(iii),Security Rule - Technical Safeguards,Automatic Logoff,,,,,,
164.312(a)(1)(iv),Security Rule - Technical Safeguards,Encryption and Decryption,,,,,,
164.312(b),Security Rule - Technical Safeguards,Audit Controls,,,,,,
164.312(c)(1)(i),Security Rule - Technical Safeguards,Mechanism to Authenticate ePHI,,,,,,
164.312(d),Security Rule - Technical Safeguards,Person or Entity Authentication,,,,,,
164.312(e)(1)(i),Security Rule - Technical Safeguards,Integrity Controls (Transmission Security),,,,,,
164.312(e)(1)(ii),Security Rule - Technical Safeguards,Encryption (Transmission Security),,,,,,
164.314(a)(1)(i),Security Rule - Organizational Requirements,Business Associate Contracts,,,,,,
164.314(a)(1)(ii),Security Rule - Organizational Requirements,Other Arrangements,,,,,,
164.314(b)(1)(i),Security Rule - Organizational Requirements,Requirements for Group Health Plans,,,,,,
164.316(a),Security Rule - Policies and Procedures,Policies and Procedures,,,,,,
164.316(b)(1)(i),Security Rule - Policies and Procedures,Documentation - Time Limit,,,,,,
164.316(b)(1)(ii),Security Rule - Policies and Procedures,Documentation - Availability,,,,,,
164.316(b)(1)(iii),Security Rule - Policies and Procedures,Documentation - Updates,,,,,,
164.502(a),Privacy Rule,Permitted Uses and Disclosures,,,,,,
164.502(b) / 164.514(d),Privacy Rule,Minimum Necessary Standard,,,,,,
164.508,Privacy Rule,Authorization for Uses and Disclosures,,,,,,
164.520,Privacy Rule,Notice of Privacy Practices,,,,,,
164.524,Privacy Rule,Right of Access,,,,,,
164.526,Privacy Rule,Right to Amend,,,,,,
164.528,Privacy Rule,Accounting of Disclosures,,,,,,
164.502(e) / 164.504(e),Privacy Rule,Business Associate Requirements,,,,,,
164.400-414,Breach Notification Rule,"Breach Notification to Individuals, HHS, and Media",,,,,,
