ID,Goal,Title,Evidence Reviewed,Conformance (Compliant/Non-Compliant/Compensating Control),Finding,Exception Reference,Auditor/QSA,Audit Date
1.1,Build and Maintain a Secure Network and Systems,NSC processes defined,,,,,,
1.2,Build and Maintain a Secure Network and Systems,NSCs configured and maintained,,,,,,
1.3,Build and Maintain a Secure Network and Systems,CDE network access restricted,,,,,,
1.4,Build and Maintain a Secure Network and Systems,Trusted/untrusted network connections controlled,,,,,,
1.5,Build and Maintain a Secure Network and Systems,Dual-connected device risk mitigated,,,,,,
2.1,Build and Maintain a Secure Network and Systems,Secure configuration processes defined,,,,,,
2.2,Build and Maintain a Secure Network and Systems,System components securely configured,,,,,,
2.3,Build and Maintain a Secure Network and Systems,Wireless environments secured,,,,,,
3.1,Protect Account Data,Stored data protection processes defined,,,,,,
3.2,Protect Account Data,Storage minimized,,,,,,
3.3,Protect Account Data,SAD not stored after authorization,,,,,,
3.4,Protect Account Data,PAN display/copy restricted,,,,,,
3.5,Protect Account Data,PAN secured wherever stored,,,,,,
3.6,Protect Account Data,Cryptographic keys secured,,,,,,
3.7,Protect Account Data,Key management processes defined,,,,,,
4.1,Protect Account Data,Transmission protection processes defined,,,,,,
4.2,Protect Account Data,PAN protected during transmission,,,,,,
5.1,Maintain a Vulnerability Management Program,Anti-malware processes defined,,,,,,
5.2,Maintain a Vulnerability Management Program,Malware prevented/detected,,,,,,
5.3,Maintain a Vulnerability Management Program,Anti-malware mechanisms maintained,,,,,,
5.4,Maintain a Vulnerability Management Program,Anti-phishing mechanisms,,,,,,
6.1,Maintain a Vulnerability Management Program,Secure development processes defined,,,,,,
6.2,Maintain a Vulnerability Management Program,Bespoke/custom software developed securely,,,,,,
6.3,Maintain a Vulnerability Management Program,Vulnerabilities identified and addressed,,,,,,
6.4,Maintain a Vulnerability Management Program,Public-facing web apps protected,,,,,,
6.5,Maintain a Vulnerability Management Program,Changes managed securely,,,,,,
7.1,Implement Strong Access Control Measures,Need-to-know access processes defined,,,,,,
7.2,Implement Strong Access Control Measures,Access appropriately defined/assigned,,,,,,
7.3,Implement Strong Access Control Measures,Access control system(s) used,,,,,,
8.1,Implement Strong Access Control Measures,Identification/authentication processes defined,,,,,,
8.2,Implement Strong Access Control Measures,User IDs/accounts strictly managed,,,,,,
8.3,Implement Strong Access Control Measures,Strong authentication established,,,,,,
8.4,Implement Strong Access Control Measures,MFA implemented for CDE access,,,,,,
8.5,Implement Strong Access Control Measures,MFA configured to prevent misuse,,,,,,
8.6,Implement Strong Access Control Measures,System/application accounts managed,,,,,,
9.1,Implement Strong Access Control Measures,Physical access processes defined,,,,,,
9.2,Implement Strong Access Control Measures,Physical access controls manage entry,,,,,,
9.3,Implement Strong Access Control Measures,Personnel/visitor physical access managed,,,,,,
9.4,Implement Strong Access Control Measures,Media securely handled,,,,,,
9.5,Implement Strong Access Control Measures,POI devices protected,,,,,,
10.1,Regularly Monitor and Test Networks,Logging processes defined,,,,,,
10.2,Regularly Monitor and Test Networks,Audit logs implemented,,,,,,
10.3,Regularly Monitor and Test Networks,Audit logs protected,,,,,,
10.4,Regularly Monitor and Test Networks,Audit logs reviewed,,,,,,
10.5,Regularly Monitor and Test Networks,Audit log history retained,,,,,,
10.6,Regularly Monitor and Test Networks,Time synchronization,,,,,,
10.7,Regularly Monitor and Test Networks,Critical security control failures detected,,,,,,
11.1,Regularly Monitor and Test Networks,Security testing processes defined,,,,,,
11.2,Regularly Monitor and Test Networks,Wireless access points monitored,,,,,,
11.3,Regularly Monitor and Test Networks,Vulnerabilities identified/addressed,,,,,,
11.4,Regularly Monitor and Test Networks,Penetration testing performed,,,,,,
11.5,Regularly Monitor and Test Networks,Intrusions/file changes detected,,,,,,
11.6,Regularly Monitor and Test Networks,Payment page changes detected,,,,,,
12.1,Maintain an Information Security Policy,Information security policy current,,,,,,
12.2,Maintain an Information Security Policy,Acceptable use policies defined,,,,,,
12.3,Maintain an Information Security Policy,CDE risks formally managed,,,,,,
12.4,Maintain an Information Security Policy,PCI DSS compliance managed,,,,,,
12.5,Maintain an Information Security Policy,PCI DSS scope documented/validated,,,,,,
12.6,Maintain an Information Security Policy,Security awareness ongoing,,,,,,
12.7,Maintain an Information Security Policy,Personnel screened,,,,,,
12.8,Maintain an Information Security Policy,TPSP risk managed,,,,,,
12.9,Maintain an Information Security Policy,TPSPs support customer compliance,,,,,,
12.10,Maintain an Information Security Policy,Incidents responded to immediately,,,,,,
