Control ID,Family,Title,Description
AC-1,Access Control,Policy and Procedures,"Develop, document, and disseminate access control policy and procedures."
AC-2,Access Control,Account Management,"Manage system accounts, including establishment, activation, modification, review, and removal."
AC-3,Access Control,Access Enforcement,Enforce approved authorizations for logical access to information and system resources.
AC-4,Access Control,Information Flow Enforcement,Control the flow of information within the system and between interconnected systems.
AC-5,Access Control,Separation of Duties,Separate duties of individuals to reduce the risk of malevolent or unintentional activity.
AC-6,Access Control,Least Privilege,"Employ the principle of least privilege, allowing only authorized access needed to accomplish assigned tasks."
AC-7,Access Control,Unsuccessful Logon Attempts,Enforce a limit on consecutive invalid logon attempts and take action when the limit is exceeded.
AC-8,Access Control,System Use Notification,Display an approved system use notification message before granting access to the system.
AC-9,Access Control,Previous Logon Notification,Notify users of the date and time of their previous logon at successful logon.
AC-10,Access Control,Concurrent Session Control,Limit the number of concurrent sessions for each account.
AC-11,Access Control,Device Lock,Prevent further access by initiating a device lock after a defined period of inactivity.
AC-12,Access Control,Session Termination,Automatically terminate a user session after defined conditions or trigger events are met.
AC-14,Access Control,Permitted Actions without Identification or Authentication,Identify specific user actions permitted without identification or authentication.
AC-16,Access Control,Security and Privacy Attributes,"Associate security and privacy attributes with information in storage, processing, and transmission."
AC-17,Access Control,Remote Access,Establish and document usage restrictions and implementation guidance for remote access.
AC-18,Access Control,Wireless Access,Establish usage restrictions and implementation guidance for wireless access.
AC-19,Access Control,Access Control for Mobile Devices,Establish usage restrictions and implementation guidance for organization-controlled mobile devices.
AC-20,Access Control,Use of External Systems,Establish terms and conditions for use of external systems by authorized individuals.
AC-21,Access Control,Information Sharing,Facilitate information sharing by enabling authorized users to determine sharing and collaboration circumstances.
AC-22,Access Control,Publicly Accessible Content,Designate individuals authorized to post information onto publicly accessible systems and review proposed content.
AC-23,Access Control,Data Mining Protection,Employ safeguards to detect and protect against unauthorized data mining.
AC-24,Access Control,Access Control Decisions,Establish procedures for making access control decisions consistently across the organization.
AC-25,Access Control,Reference Monitor,"Implement a reference monitor for access control that is tamperproof, non-bypassable, and evaluable."
AT-1,Awareness and Training,Policy and Procedures,"Develop, document, and disseminate awareness and training policy and procedures."
AT-2,Awareness and Training,Literacy Training and Awareness,Provide security and privacy literacy training to system users.
AT-3,Awareness and Training,Role-based Training,Provide role-based security and privacy training to personnel with assigned security or privacy roles.
AT-4,Awareness and Training,Training Records,"Document and monitor individual training activities, including basic and role-based training."
AT-6,Awareness and Training,Training Feedback,Provide feedback on organizational training results to relevant stakeholders.
AU-1,Audit and Accountability,Policy and Procedures,"Develop, document, and disseminate audit and accountability policy and procedures."
AU-2,Audit and Accountability,Event Logging,Identify the types of events that the system is capable of logging in support of the audit function.
AU-3,Audit and Accountability,Content of Audit Records,"Ensure audit records contain information establishing what, when, where, source, and outcome of events."
AU-4,Audit and Accountability,Audit Log Storage Capacity,Allocate audit log storage capacity to accommodate defined audit log retention requirements.
AU-5,Audit and Accountability,Response to Audit Logging Process Failures,Alert designated personnel and take defined action in the event of an audit logging process failure.
AU-6,Audit and Accountability,"Audit Record Review, Analysis, and Reporting",Review and analyze system audit records for indications of inappropriate or unusual activity.
AU-7,Audit and Accountability,Audit Record Reduction and Report Generation,Provide an audit record reduction and report generation capability supporting analysis and reporting.
AU-8,Audit and Accountability,Time Stamps,Use internal system clocks to generate time stamps for audit records.
AU-9,Audit and Accountability,Protection of Audit Information,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion."
AU-10,Audit and Accountability,Non-repudiation,Provide irrefutable evidence that an individual took a specific action to protect against later denial.
AU-11,Audit and Accountability,Audit Record Retention,Retain audit records for a defined time period to support after-the-fact investigations.
AU-12,Audit and Accountability,Audit Record Generation,Provide audit record generation capability for the auditable events defined for the system.
AU-13,Audit and Accountability,Monitoring for Information Disclosure,Monitor open-source information and information sources for evidence of unauthorized disclosure.
AU-14,Audit and Accountability,Session Audit,Provide the capability to capture and log the content of a user session for defined circumstances.
AU-16,Audit and Accountability,Cross-organizational Audit Logging,Coordinate audit information sharing among external organizations for cross-organizational audit trails.
CA-1,"Assessment, Authorization, and Monitoring",Policy and Procedures,"Develop, document, and disseminate assessment, authorization, and monitoring policy and procedures."
CA-2,"Assessment, Authorization, and Monitoring",Control Assessments,Assess the controls in the system and its environment of operation to determine effectiveness.
CA-3,"Assessment, Authorization, and Monitoring",Information Exchange,Approve and manage the exchange of information between the system and other systems.
CA-5,"Assessment, Authorization, and Monitoring",Plan of Action and Milestones,Develop a plan of action and milestones to document planned remediation of control weaknesses.
CA-6,"Assessment, Authorization, and Monitoring",Authorization,Assign a senior official as the authorizing official for the system.
CA-7,"Assessment, Authorization, and Monitoring",Continuous Monitoring,Develop a system-level continuous monitoring strategy and implement continuous monitoring.
CA-8,"Assessment, Authorization, and Monitoring",Penetration Testing,Conduct penetration testing on defined systems or system components.
CA-9,"Assessment, Authorization, and Monitoring",Internal System Connections,Authorize internal connections of system components or classes of components to the system.
CM-1,Configuration Management,Policy and Procedures,"Develop, document, and disseminate configuration management policy and procedures."
CM-2,Configuration Management,Baseline Configuration,"Develop, document, and maintain a current baseline configuration of the system."
CM-3,Configuration Management,Configuration Change Control,Determine and document the types of changes to the system that are configuration-controlled.
CM-4,Configuration Management,Impact Analyses,Analyze changes to the system to determine potential security and privacy impacts prior to implementation.
CM-5,Configuration Management,Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions for system changes."
CM-6,Configuration Management,Configuration Settings,Establish and document configuration settings for components using security configuration checklists.
CM-7,Configuration Management,Least Functionality,Configure the system to provide only essential capabilities.
CM-8,Configuration Management,System Component Inventory,Develop and document an inventory of system components.
CM-9,Configuration Management,Configuration Management Plan,"Develop, document, and implement a configuration management plan for the system."
CM-10,Configuration Management,Software Usage Restrictions,Use software and associated documentation in accordance with contract agreements and copyright laws.
CM-11,Configuration Management,User-installed Software,Establish policies governing the installation of software by users.
CM-12,Configuration Management,Information Location,Identify and document the location of information and the system components on which it resides.
CM-13,Configuration Management,Data Action Mapping,Develop and document a map of system data actions.
CM-14,Configuration Management,Signed Components,Prevent installation of software and firmware components without verification that they have been digitally signed.
CP-1,Contingency Planning,Policy and Procedures,"Develop, document, and disseminate contingency planning policy and procedures."
CP-2,Contingency Planning,Contingency Plan,Develop a contingency plan for the system that addresses essential mission and business functions.
CP-3,Contingency Planning,Contingency Training,Provide contingency training to system users consistent with assigned roles and responsibilities.
