Requirement ID,Category,Title,Description
CAT-1,Impact Level Categorization,FIPS 199 Security Categorization,"Categorize the information system's security impact level (Low, Moderate, or High) for confidentiality, integrity, and availability per FIPS 199, based on the types of federal data the system will process, store, or transmit."
CAT-2,Impact Level Categorization,Baseline Selection,"Select the FedRAMP-tailored NIST SP 800-53 control baseline (Low, Moderate, or High) corresponding to the system's FIPS 199 categorization. FedRAMP baselines add FedRAMP-specific parameters and supplemental controls beyond the base NIST baselines."
CAT-3,Impact Level Categorization,FedRAMP Tailored / LI-SaaS Eligibility,"Determine eligibility for the FedRAMP Tailored Low-Impact Software-as-a-Service (LI-SaaS) baseline, a reduced control set for low-risk, low-sensitivity SaaS offerings that do not store PII beyond basic login credentials."
AUTH-1,Authorization Paths,JAB Provisional Authorization (P-ATO),"Pursue a Provisional Authorization to Operate issued by the Joint Authorization Board (JAB — DoD, DHS, GSA), typically reserved for CSPs with broad, high-demand, government-wide use cases. JAB P-ATOs are limited in number annually and require Continuous Monitoring coordination with the JAB."
AUTH-2,Authorization Paths,Agency Authorization (Agency ATO),Pursue an Authority to Operate issued directly by a sponsoring federal agency after that agency reviews the security package. This is the most common authorization path for most cloud service offerings (CSOs).
AUTH-3,Authorization Paths,FedRAMP Tailored Authorization,"Pursue authorization under the FedRAMP Tailored baseline for low-risk SaaS solutions meeting LI-SaaS criteria, using a streamlined security package and reduced assessment scope."
AUTH-4,Authorization Paths,Agency/JAB Sponsorship Requirement,Secure sponsorship from a federal agency (Agency path) or committed agency partners (JAB path) before initiating the authorization process. FedRAMP does not authorize a CSO without a sponsoring or authorizing agency in place.
AUTH-5,Authorization Paths,FedRAMP Ready Entry Point,"Enter the FedRAMP process via a 'FedRAMP Ready' designation (a readiness assessment performed by a 3PAO) prior to full 'In Process' status, signaling market readiness to potential agency sponsors and the JAB."
DOC-1,Required Documentation Artifacts,System Security Plan (SSP),"Develop and maintain a System Security Plan describing the authorization boundary, control implementation detail, system environment, interconnections, and responsible parties, using the current FedRAMP SSP template."
DOC-2,Required Documentation Artifacts,Security Assessment Plan (SAP),"Develop a Security Assessment Plan, prepared by the 3PAO, describing the assessment scope, methodology, sampling approach, and rules of engagement for the independent security assessment."
DOC-3,Required Documentation Artifacts,Security Assessment Report (SAR),"Obtain a Security Assessment Report from the 3PAO documenting assessment findings, control effectiveness determinations, and identified vulnerabilities/weaknesses, with risk ratings."
DOC-4,Required Documentation Artifacts,Plan of Action and Milestones (POA&M),"Maintain a POA&M documenting identified weaknesses, risk ratings, remediation milestones, resources required, and scheduled completion dates. The POA&M is a living document updated on a required monthly cadence."
DOC-5,Required Documentation Artifacts,Contingency Plan (CP) & IT Contingency Plan,"Develop a Contingency Plan, including an IT Contingency Plan for information system recovery, addressing continuity of operations following a disruption, and test it at least annually."
DOC-6,Required Documentation Artifacts,Incident Response Plan (IRP),"Develop and maintain an Incident Response Plan aligned to NIST SP 800-61 and FedRAMP incident reporting requirements, including US-CERT/CISA reporting timelines and agency/JAB notification procedures."
DOC-7,Required Documentation Artifacts,Configuration Management Plan (CMP),"Develop a Configuration Management Plan documenting baseline configurations, change control processes, and configuration monitoring across the authorization boundary."
DOC-8,Required Documentation Artifacts,Rules of Behavior (RoB),Develop Rules of Behavior describing acceptable use expectations for all users with access to the system; require signed acknowledgment prior to granting access.
DOC-9,Required Documentation Artifacts,Control Implementation Summary / Customer Responsibility Matrix,"Document a Control Implementation Summary and Customer Responsibility Matrix clarifying which controls are inherited, shared, or the responsibility of the customer (leveraging) agency."
DOC-10,Required Documentation Artifacts,Continuous Monitoring Plan,"Develop a Continuous Monitoring (ConMon) Plan describing the ongoing monitoring strategy, vulnerability scanning cadence, and reporting obligations that apply after authorization."
3PAO-1,Third Party Assessment (3PAO),Independent Assessment Requirement,"Engage a FedRAMP-accredited Third Party Assessment Organization (3PAO) to perform the initial security assessment. Self-assessment is not an accepted path under FedRAMP, unlike the self-attestation options available in some other compliance frameworks."
3PAO-2,Third Party Assessment (3PAO),3PAO Accreditation Verification,Confirm the selected 3PAO holds current accreditation from the FedRAMP Program Management Office (PMO) and the American Association for Laboratory Accreditation (A2LA).
3PAO-3,Third Party Assessment (3PAO),Independent Annual Assessment,"Engage a 3PAO (or other qualified independent assessor) to perform the required annual security control assessment as part of continuous monitoring, distinct from the initial full assessment."
CONMON-1,Continuous Monitoring (ConMon),Monthly Vulnerability Scanning,"Perform monthly operating system/infrastructure, database, and web application vulnerability scans across the full authorization boundary and submit scan results/summaries to the authorizing official on the required cadence."
