Ref,Category,Title,Description
Civ. Code 1798.100(a),Consumer Rights,Right to Know / Access,"Consumers may request that a business disclose the categories and specific pieces of personal information it has collected about them, the categories of sources, the business/commercial purpose for collecting, and the categories of third parties with whom it is shared."
Civ. Code 1798.100(d),Consumer Rights,Right to Data Portability,"Where technically feasible, a business must provide personal information disclosed under the right to know in a portable and readily usable format that allows the consumer to transmit it to another entity without hindrance."
Civ. Code 1798.105,Consumer Rights,Right to Delete,"Consumers may request deletion of personal information a business has collected from them, subject to statutory exceptions (e.g., completing the transaction, security/fraud prevention, legal compliance, internal lawful uses compatible with the context of collection)."
Civ. Code 1798.106,Consumer Rights,Right to Correct (CPRA),"Consumers may request correction of inaccurate personal information a business maintains about them; the business must use commercially reasonable efforts to correct it, accounting for the nature of the information and purposes of processing."
Civ. Code 1798.110,Consumer Rights,Right to Know Specific Pieces and Categories Collected,"Consumers may request the specific pieces of personal information collected, the categories of personal information collected, and the categories of sources, purposes, and third parties, covering the 12 months preceding the request (or longer, if the business chooses)."
Civ. Code 1798.115,Consumer Rights,"Right to Know About Sale, Sharing, and Disclosure","Consumers may request the categories of personal information sold, shared, or disclosed for a business purpose, and the categories of third parties, service providers, or contractors to whom each category was sold, shared, or disclosed."
Civ. Code 1798.120,Consumer Rights,Right to Opt-Out of Sale or Sharing,"Consumers have the right, at any time, to direct a business that sells or shares personal information to third parties not to sell or share it, including personal information sold or shared for cross-context behavioral advertising."
Civ. Code 1798.121,Consumer Rights,Right to Limit Use of Sensitive Personal Information (CPRA),"Consumers may direct a business to limit its use and disclosure of sensitive personal information to what is necessary to perform the services or provide the goods reasonably expected by an average consumer, or as otherwise permitted by regulation."
Civ. Code 1798.125,Consumer Rights,Right to Non-Discrimination,"A business may not deny goods or services, charge different prices, or provide a different level or quality of goods or services because a consumer exercised a CCPA/CPRA right; financial incentives are permitted only if reasonably related to the value of the data and clearly disclosed."
Civ. Code 1798.100(b),Business Obligations,Notice at Collection,"At or before the point of collection, a business must inform consumers of the categories of personal information to be collected, the purposes for which each category will be used, whether that information is sold or shared, and the applicable retention period (or the criteria used to determine it)."
