Requirement ID,Category,Title,Applicable to Our Authorization Path (Y/N),Implementation Status,Evidence Reference,Owner,Last Review Date
CAT-1,Impact Level Categorization,FIPS 199 Security Categorization,,Not Started,,,
CAT-2,Impact Level Categorization,Baseline Selection,,Not Started,,,
CAT-3,Impact Level Categorization,FedRAMP Tailored / LI-SaaS Eligibility,,Not Started,,,
AUTH-1,Authorization Paths,JAB Provisional Authorization (P-ATO),,Not Started,,,
AUTH-2,Authorization Paths,Agency Authorization (Agency ATO),,Not Started,,,
AUTH-3,Authorization Paths,FedRAMP Tailored Authorization,,Not Started,,,
AUTH-4,Authorization Paths,Agency/JAB Sponsorship Requirement,,Not Started,,,
AUTH-5,Authorization Paths,FedRAMP Ready Entry Point,,Not Started,,,
DOC-1,Required Documentation Artifacts,System Security Plan (SSP),,Not Started,,,
DOC-2,Required Documentation Artifacts,Security Assessment Plan (SAP),,Not Started,,,
DOC-3,Required Documentation Artifacts,Security Assessment Report (SAR),,Not Started,,,
DOC-4,Required Documentation Artifacts,Plan of Action and Milestones (POA&M),,Not Started,,,
DOC-5,Required Documentation Artifacts,Contingency Plan (CP) & IT Contingency Plan,,Not Started,,,
DOC-6,Required Documentation Artifacts,Incident Response Plan (IRP),,Not Started,,,
DOC-7,Required Documentation Artifacts,Configuration Management Plan (CMP),,Not Started,,,
DOC-8,Required Documentation Artifacts,Rules of Behavior (RoB),,Not Started,,,
DOC-9,Required Documentation Artifacts,Control Implementation Summary / Customer Responsibility Matrix,,Not Started,,,
DOC-10,Required Documentation Artifacts,Continuous Monitoring Plan,,Not Started,,,
3PAO-1,Third Party Assessment (3PAO),Independent Assessment Requirement,,Not Started,,,
3PAO-2,Third Party Assessment (3PAO),3PAO Accreditation Verification,,Not Started,,,
3PAO-3,Third Party Assessment (3PAO),Independent Annual Assessment,,Not Started,,,
CONMON-1,Continuous Monitoring (ConMon),Monthly Vulnerability Scanning,,Not Started,,,
CONMON-2,Continuous Monitoring (ConMon),Monthly POA&M Updates,,Not Started,,,
CONMON-3,Continuous Monitoring (ConMon),Annual Security Assessment,,Not Started,,,
CONMON-4,Continuous Monitoring (ConMon),Annual Penetration Test,,Not Started,,,
CONMON-5,Continuous Monitoring (ConMon),Annual Contingency Plan Test,,Not Started,,,
CONMON-6,Continuous Monitoring (ConMon),ConMon Deliverable Submission,,Not Started,,,
SCR-1,Significant Change Management,Significant Change Request (SCR) Process,,Not Started,,,
SCR-2,Significant Change Management,Change Impact Analysis,,Not Started,,,
INC-1,Incident Reporting,US-CERT/CISA Incident Reporting Timeline,,Not Started,,,
INC-2,Incident Reporting,Incident Reporting to Authorizing Officials,,Not Started,,,
MKT-1,FedRAMP Marketplace,Marketplace Status Tracking,,Not Started,,,
MKT-2,FedRAMP Marketplace,FedRAMP Ready Designation,,Not Started,,,
MKT-3,FedRAMP Marketplace,Sustained Authorized Status,,Not Started,,,
BND-1,Boundary & Data Flow Documentation,Authorization Boundary Diagram,,Not Started,,,
BND-2,Boundary & Data Flow Documentation,Data Flow Diagram,,Not Started,,,
BND-3,Boundary & Data Flow Documentation,Leveraged Authorizations & Interconnections,,Not Started,,,
PS-1,Personnel Security,Personnel Screening for Federal Data Access,,Not Started,,,
PS-2,Personnel Security,Foreign National / Access Restrictions,,Not Started,,,
