Article/Ref,Category,Title,Evidence Reviewed,Conformance (Conform/Nonconform/Partial),Finding,Corrective Action Ref,Auditor,Audit Date
Art. 5(1)(a),Data Protection Principles,"Lawfulness, fairness and transparency",,,,,,
Art. 5(1)(b),Data Protection Principles,Purpose limitation,,,,,,
Art. 5(1)(c),Data Protection Principles,Data minimization,,,,,,
Art. 5(1)(d),Data Protection Principles,Accuracy,,,,,,
Art. 5(1)(e),Data Protection Principles,Storage limitation,,,,,,
Art. 5(1)(f),Data Protection Principles,Integrity and confidentiality,,,,,,
Art. 5(2),Data Protection Principles,Accountability,,,,,,
Art. 6(1)(a),Lawful Basis for Processing,Consent,,,,,,
Art. 6(1)(b),Lawful Basis for Processing,Contract,,,,,,
Art. 6(1)(c),Lawful Basis for Processing,Legal obligation,,,,,,
Art. 6(1)(d),Lawful Basis for Processing,Vital interests,,,,,,
Art. 6(1)(e),Lawful Basis for Processing,Public task,,,,,,
Art. 6(1)(f),Lawful Basis for Processing,Legitimate interests,,,,,,
Art. 7(1)-(2),Consent,Conditions for valid consent,,,,,,
Art. 7(3),Consent,Right to withdraw consent,,,,,,
Art. 8,Consent,Conditions applicable to a child's consent,,,,,,
Art. 9(1),Special Category Data,Prohibition on processing special categories of data,,,,,,
Art. 9(2),Special Category Data,Conditions lifting the prohibition,,,,,,
Art. 10,Special Category Data,Processing of criminal conviction and offence data,,,,,,
Art. 12,Data Subject Rights,Transparent information and communication,,,,,,
Art. 13,Data Subject Rights,Information to be provided (data collected from the subject),,,,,,
Art. 14,Data Subject Rights,Information to be provided (data not obtained from the subject),,,,,,
Art. 15,Data Subject Rights,Right of access,,,,,,
Art. 16,Data Subject Rights,Right to rectification,,,,,,
Art. 17,Data Subject Rights,Right to erasure ('right to be forgotten'),,,,,,
Art. 18,Data Subject Rights,Right to restriction of processing,,,,,,
Art. 19,Data Subject Rights,Notification obligation regarding rectification erasure or restriction,,,,,,
Art. 20,Data Subject Rights,Right to data portability,,,,,,
Art. 21,Data Subject Rights,Right to object,,,,,,
Art. 22,Data Subject Rights,"Automated individual decision-making, including profiling",,,,,,
Art. 24,Controller & Processor Obligations,Responsibility of the controller,,,,,,
Art. 25,Controller & Processor Obligations,Data protection by design and by default,,,,,,
Art. 26,Controller & Processor Obligations,Joint controllers,,,,,,
Art. 27,Controller & Processor Obligations,Representatives not established in the Union,,,,,,
Art. 28,Controller & Processor Obligations,Processor obligations and data processing agreements,,,,,,
Art. 29,Controller & Processor Obligations,Processing under the authority of the controller or processor,,,,,,
Art. 30,Controller & Processor Obligations,Records of processing activities (RoPA),,,,,,
Art. 32,Security of Processing,Security of processing,,,,,,
Art. 33,Data Breach Notification,Notification to the supervisory authority,,,,,,
Art. 34,Data Breach Notification,Communication to the data subject,,,,,,
Art. 35,Data Protection Impact Assessment,DPIA requirement,,,,,,
Art. 36,Data Protection Impact Assessment,Prior consultation,,,,,,
Art. 37,Data Protection Officer,Designation of the DPO,,,,,,
Art. 38,Data Protection Officer,Position of the DPO,,,,,,
Art. 39,Data Protection Officer,Tasks of the DPO,,,,,,
Art. 44,International Data Transfers,General principle for transfers,,,,,,
Art. 45,International Data Transfers,Adequacy decisions,,,,,,
Art. 46,International Data Transfers,Appropriate safeguards (e.g. Standard Contractual Clauses),,,,,,
Art. 47,International Data Transfers,Binding Corporate Rules (BCRs),,,,,,
Art. 49,International Data Transfers,Derogations for specific situations,,,,,,
