Practice ID,Domain,Level (1/2/3),Title,Description
AC.L2-3.1.1,Access Control,"1, 2",Authorized access control,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices (including other systems)."
AC.L2-3.1.2,Access Control,"1, 2",Transaction and function control,Limit system access to the types of transactions and functions that authorized users are permitted to execute.
AC.L2-3.1.3,Access Control,2,Control CUI flow,Control the flow of CUI in accordance with approved authorizations.
AC.L2-3.1.4,Access Control,2,Separation of duties,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.
AC.L2-3.1.5,Access Control,2,Least privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts."
AC.L2-3.1.6,Access Control,2,Non-privileged account use,Use non-privileged accounts or roles when accessing nonsecurity functions.
AC.L2-3.1.7,Access Control,2,Privileged function restriction,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.
AC.L2-3.1.8,Access Control,2,Unsuccessful logon attempts,Limit unsuccessful logon attempts.
AC.L2-3.1.9,Access Control,2,Privacy and security notices,Provide privacy and security notices consistent with applicable CUI rules.
AC.L2-3.1.10,Access Control,2,Session lock,Use session lock with pattern-hiding displays to prevent access to and viewing of data after a period of inactivity.
AC.L2-3.1.11,Access Control,2,Session termination,Terminate (automatically) a user session after a defined condition.
AC.L2-3.1.12,Access Control,2,Remote access monitoring,Monitor and control remote access sessions.
AC.L2-3.1.13,Access Control,2,Remote access confidentiality,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.
AC.L2-3.1.14,Access Control,2,Route remote access,Route remote access via managed access control points.
AC.L2-3.1.15,Access Control,2,Authorize remote privileged commands,Authorize remote execution of privileged commands and remote access to security-relevant information.
AC.L2-3.1.16,Access Control,2,Wireless access authorization,Authorize wireless access prior to allowing such connections.
AC.L2-3.1.17,Access Control,2,Wireless access protection,Protect wireless access using authentication and encryption.
AC.L2-3.1.18,Access Control,2,Mobile device connection control,Control connection of mobile devices.
AC.L2-3.1.19,Access Control,2,Encrypt CUI on mobile devices,Encrypt CUI on mobile devices and mobile computing platforms.
AC.L2-3.1.20,Access Control,"1, 2",External system connections,Verify and control/limit connections to and use of external systems.
AC.L2-3.1.21,Access Control,2,Portable storage on external systems,Limit use of portable storage devices on external systems.
AC.L2-3.1.22,Access Control,"1, 2",Publicly accessible content control,Control CUI posted or processed on publicly accessible systems.
AT.L2-3.2.1,Awareness and Training,2,Security awareness,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems."
