Standard ID,Category,Title,Required/Addressable,Description
164.308(a)(1)(i),Security Rule - Administrative Safeguards,Risk Analysis,Required,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of ePHI."
164.308(a)(1)(ii),Security Rule - Administrative Safeguards,Risk Management,Required,Implement security measures sufficient to reduce identified risks and vulnerabilities to a reasonable and appropriate level.
164.308(a)(1)(iii),Security Rule - Administrative Safeguards,Sanction Policy,Required,Apply appropriate sanctions against workforce members who fail to comply with security policies and procedures.
164.308(a)(1)(iv),Security Rule - Administrative Safeguards,Information System Activity Review,Required,"Regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports."
164.308(a)(2),Security Rule - Administrative Safeguards,Assigned Security Responsibility,Required,Identify the security official who is responsible for the development and implementation of the security policies and procedures required by this subpart.
164.308(a)(3)(i),Security Rule - Administrative Safeguards,Authorization and/or Supervision,Addressable,Implement procedures for the authorization and/or supervision of workforce members who work with ePHI or in locations where it might be accessed.
164.308(a)(3)(ii),Security Rule - Administrative Safeguards,Workforce Clearance Procedure,Addressable,Implement procedures to determine that the access of a workforce member to ePHI is appropriate.
164.308(a)(3)(iii),Security Rule - Administrative Safeguards,Termination Procedures,Addressable,Implement procedures for terminating access to ePHI when a workforce member's employment ends or as required by workforce clearance determinations.
164.308(a)(4)(i),Security Rule - Administrative Safeguards,Isolating Health Care Clearinghouse Functions,Required,"If a health care clearinghouse is part of a larger organization, implement policies and procedures that protect ePHI from unauthorized access by the larger organization."
164.308(a)(4)(ii),Security Rule - Administrative Safeguards,Access Authorization,Addressable,"Implement policies and procedures for granting access to ePHI, e.g. through a workstation, transaction, program, or process."
164.308(a)(4)(iii),Security Rule - Administrative Safeguards,Access Establishment and Modification,Addressable,"Implement policies and procedures that, based on the access authorization policies, establish, review, and modify a user's right of access to a workstation, transaction, program, or process."
164.308(a)(5)(i),Security Rule - Administrative Safeguards,Security Reminders,Addressable,Provide periodic security updates and reminders to the workforce.
164.308(a)(5)(ii),Security Rule - Administrative Safeguards,Protection from Malicious Software,Addressable,"Implement procedures for guarding against, detecting, and reporting malicious software."
164.308(a)(5)(iii),Security Rule - Administrative Safeguards,Log-in Monitoring,Addressable,Implement procedures for monitoring log-in attempts and reporting discrepancies.
164.308(a)(5)(iv),Security Rule - Administrative Safeguards,Password Management,Addressable,"Implement procedures for creating, changing, and safeguarding passwords."
164.308(a)(6)(i),Security Rule - Administrative Safeguards,Security Incident Procedures - Response and Reporting,Required,"Identify and respond to suspected or known security incidents, mitigate harmful effects of incidents that are known to the covered entity or business associate, and document incidents and their outcomes."
164.308(a)(7)(i),Security Rule - Administrative Safeguards,Data Backup Plan,Required,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.
164.308(a)(7)(ii),Security Rule - Administrative Safeguards,Disaster Recovery Plan,Required,"Establish, as needed, procedures to restore any loss of data."
164.308(a)(7)(iii),Security Rule - Administrative Safeguards,Emergency Mode Operation Plan,Required,"Establish, as needed, procedures to enable continuation of critical business processes and protection of ePHI while operating in emergency mode."
164.308(a)(7)(iv),Security Rule - Administrative Safeguards,Testing and Revision Procedures,Addressable,Implement procedures for periodic testing and revision of contingency plans.
164.308(a)(7)(v),Security Rule - Administrative Safeguards,Applications and Data Criticality Analysis,Addressable,Assess the relative criticality of specific applications and data in support of other contingency plan components.
164.308(a)(8),Security Rule - Administrative Safeguards,Evaluation,Required,"Perform a periodic technical and nontechnical evaluation of how well security policies and procedures meet Security Rule requirements, prompted initially by the standard's implementation and thereafter in response to environmental or operational changes affecting ePHI security."
164.308(b)(1),Security Rule - Administrative Safeguards,Business Associate Contracts and Other Arrangements,Required,"Obtain satisfactory assurances, in the form of a written contract or other arrangement, that a business associate will appropriately safeguard ePHI it creates, receives, maintains, or transmits on the covered entity's behalf."
164.310(a)(1)(i),Security Rule - Physical Safeguards,Contingency Operations,Addressable,Establish (and implement as needed) procedures allowing facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan.
164.310(a)(1)(ii),Security Rule - Physical Safeguards,Facility Security Plan,Addressable,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access, tampering, and theft."
164.310(a)(1)(iii),Security Rule - Physical Safeguards,Access Control and Validation Procedures,Addressable,"Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control and control of access to software programs for testing and revision."
164.310(a)(1)(iv),Security Rule - Physical Safeguards,Maintenance Records,Addressable,"Implement policies and procedures to document repairs and modifications to the physical components of a facility that are related to security, e.g. hardware, walls, doors, and locks."
164.310(b),Security Rule - Physical Safeguards,Workstation Use,Required,"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access ePHI."
164.310(c),Security Rule - Physical Safeguards,Workstation Security,Required,Implement physical safeguards for all workstations that access ePHI to restrict access to authorized users.
164.310(d)(1)(i),Security Rule - Physical Safeguards,Disposal,Required,"Implement policies and procedures to address the final disposition of ePHI, and/or the hardware or electronic media on which it is stored."
164.310(d)(1)(ii),Security Rule - Physical Safeguards,Media Re-use,Required,Implement procedures for removal of ePHI from electronic media before the media are made available for re-use.
164.310(d)(1)(iii),Security Rule - Physical Safeguards,Accountability,Addressable,Maintain a record of the movements of hardware and electronic media and the person responsible for such movement.
164.310(d)(1)(iv),Security Rule - Physical Safeguards,Data Backup and Storage,Addressable,"Create a retrievable, exact copy of ePHI, when needed, before movement of equipment."
164.312(a)(1)(i),Security Rule - Technical Safeguards,Unique User Identification,Required,Assign a unique name and/or number for identifying and tracking user identity.
164.312(a)(1)(ii),Security Rule - Technical Safeguards,Emergency Access Procedure,Required,Establish (and implement as needed) procedures for obtaining necessary ePHI during an emergency.
164.312(a)(1)(iii),Security Rule - Technical Safeguards,Automatic Logoff,Addressable,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.
164.312(a)(1)(iv),Security Rule - Technical Safeguards,Encryption and Decryption,Addressable,Implement a mechanism to encrypt and decrypt ePHI.
164.312(b),Security Rule - Technical Safeguards,Audit Controls,Required,"Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use ePHI."
164.312(c)(1)(i),Security Rule - Technical Safeguards,Mechanism to Authenticate ePHI,Addressable,Implement electronic mechanisms to corroborate that ePHI has not been altered or destroyed in an unauthorized manner.
164.312(d),Security Rule - Technical Safeguards,Person or Entity Authentication,Required,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.
164.312(e)(1)(i),Security Rule - Technical Safeguards,Integrity Controls (Transmission Security),Addressable,Implement security measures to ensure that electronically transmitted ePHI is not improperly modified without detection until disposed of.
164.312(e)(1)(ii),Security Rule - Technical Safeguards,Encryption (Transmission Security),Addressable,Implement a mechanism to encrypt ePHI whenever deemed appropriate during electronic transmission.
164.314(a)(1)(i),Security Rule - Organizational Requirements,Business Associate Contracts,Required,"Business associate contracts must establish permitted and required uses/disclosures of ePHI, require implementation of appropriate safeguards, require reporting of security incidents, and require subcontractors to agree to the same restrictions and conditions."
164.314(a)(1)(ii),Security Rule - Organizational Requirements,Other Arrangements,Required,"Where a business associate is a government entity, a memorandum of understanding or other arrangement satisfying applicable legal requirements may substitute for a formal written contract."
164.314(b)(1)(i),Security Rule - Organizational Requirements,Requirements for Group Health Plans,Required,"Plan documents must be amended to require the plan sponsor to reasonably and appropriately safeguard ePHI it creates, receives, maintains, or transmits on behalf of the group health plan."
164.316(a),Security Rule - Policies and Procedures,Policies and Procedures,Required,"Implement reasonable and appropriate policies and procedures to comply with the standards, implementation specifications, and other requirements of the Security Rule, taking into account the organization's size, complexity, and capabilities."
164.316(b)(1)(i),Security Rule - Policies and Procedures,Documentation - Time Limit,Required,"Retain required documentation for six years from the date of its creation or the date when it last was in effect, whichever is later."
164.316(b)(1)(ii),Security Rule - Policies and Procedures,Documentation - Availability,Required,Make documentation available to those persons responsible for implementing the procedures to which the documentation pertains.
164.316(b)(1)(iii),Security Rule - Policies and Procedures,Documentation - Updates,Required,Review documentation periodically and update it as needed in response to environmental or operational changes affecting the security of ePHI.
164.502(a),Privacy Rule,Permitted Uses and Disclosures,Required,"A covered entity may use or disclose PHI only as permitted or required by the Privacy Rule, including for treatment, payment, and health care operations."
164.502(b) / 164.514(d),Privacy Rule,Minimum Necessary Standard,Required,"When using, disclosing, or requesting PHI, make reasonable efforts to limit it to the minimum necessary to accomplish the intended purpose; this standard does not apply to treatment disclosures or disclosures required by law."
164.508,Privacy Rule,Authorization for Uses and Disclosures,Required,"Obtain a valid, individual-signed authorization for uses and disclosures of PHI not otherwise permitted or required by the Privacy Rule, such as most marketing communications."
