Control ID,Family,Title,Baseline (Low/Moderate/High/Not Selected),Implementation Status (Implemented/Partially Implemented/Planned/Alternative Implementation/Not Applicable),Responsible Role,Evidence Reference,Last Assessed Date
AC-1,Access Control,Policy and Procedures,Not Selected,Planned,,,
AC-2,Access Control,Account Management,Not Selected,Planned,,,
AC-3,Access Control,Access Enforcement,Not Selected,Planned,,,
AC-4,Access Control,Information Flow Enforcement,Not Selected,Planned,,,
AC-5,Access Control,Separation of Duties,Not Selected,Planned,,,
AC-6,Access Control,Least Privilege,Not Selected,Planned,,,
AC-7,Access Control,Unsuccessful Logon Attempts,Not Selected,Planned,,,
AC-8,Access Control,System Use Notification,Not Selected,Planned,,,
AC-9,Access Control,Previous Logon Notification,Not Selected,Planned,,,
AC-10,Access Control,Concurrent Session Control,Not Selected,Planned,,,
AC-11,Access Control,Device Lock,Not Selected,Planned,,,
AC-12,Access Control,Session Termination,Not Selected,Planned,,,
AC-14,Access Control,Permitted Actions without Identification or Authentication,Not Selected,Planned,,,
AC-16,Access Control,Security and Privacy Attributes,Not Selected,Planned,,,
AC-17,Access Control,Remote Access,Not Selected,Planned,,,
AC-18,Access Control,Wireless Access,Not Selected,Planned,,,
AC-19,Access Control,Access Control for Mobile Devices,Not Selected,Planned,,,
AC-20,Access Control,Use of External Systems,Not Selected,Planned,,,
AC-21,Access Control,Information Sharing,Not Selected,Planned,,,
AC-22,Access Control,Publicly Accessible Content,Not Selected,Planned,,,
AC-23,Access Control,Data Mining Protection,Not Selected,Planned,,,
AC-24,Access Control,Access Control Decisions,Not Selected,Planned,,,
AC-25,Access Control,Reference Monitor,Not Selected,Planned,,,
AT-1,Awareness and Training,Policy and Procedures,Not Selected,Planned,,,
AT-2,Awareness and Training,Literacy Training and Awareness,Not Selected,Planned,,,
AT-3,Awareness and Training,Role-based Training,Not Selected,Planned,,,
AT-4,Awareness and Training,Training Records,Not Selected,Planned,,,
AT-6,Awareness and Training,Training Feedback,Not Selected,Planned,,,
AU-1,Audit and Accountability,Policy and Procedures,Not Selected,Planned,,,
AU-2,Audit and Accountability,Event Logging,Not Selected,Planned,,,
AU-3,Audit and Accountability,Content of Audit Records,Not Selected,Planned,,,
AU-4,Audit and Accountability,Audit Log Storage Capacity,Not Selected,Planned,,,
AU-5,Audit and Accountability,Response to Audit Logging Process Failures,Not Selected,Planned,,,
AU-6,Audit and Accountability,"Audit Record Review, Analysis, and Reporting",Not Selected,Planned,,,
AU-7,Audit and Accountability,Audit Record Reduction and Report Generation,Not Selected,Planned,,,
AU-8,Audit and Accountability,Time Stamps,Not Selected,Planned,,,
AU-9,Audit and Accountability,Protection of Audit Information,Not Selected,Planned,,,
AU-10,Audit and Accountability,Non-repudiation,Not Selected,Planned,,,
AU-11,Audit and Accountability,Audit Record Retention,Not Selected,Planned,,,
AU-12,Audit and Accountability,Audit Record Generation,Not Selected,Planned,,,
AU-13,Audit and Accountability,Monitoring for Information Disclosure,Not Selected,Planned,,,
AU-14,Audit and Accountability,Session Audit,Not Selected,Planned,,,
AU-16,Audit and Accountability,Cross-organizational Audit Logging,Not Selected,Planned,,,
CA-1,"Assessment, Authorization, and Monitoring",Policy and Procedures,Not Selected,Planned,,,
CA-2,"Assessment, Authorization, and Monitoring",Control Assessments,Not Selected,Planned,,,
CA-3,"Assessment, Authorization, and Monitoring",Information Exchange,Not Selected,Planned,,,
CA-5,"Assessment, Authorization, and Monitoring",Plan of Action and Milestones,Not Selected,Planned,,,
CA-6,"Assessment, Authorization, and Monitoring",Authorization,Not Selected,Planned,,,
CA-7,"Assessment, Authorization, and Monitoring",Continuous Monitoring,Not Selected,Planned,,,
CA-8,"Assessment, Authorization, and Monitoring",Penetration Testing,Not Selected,Planned,,,
CA-9,"Assessment, Authorization, and Monitoring",Internal System Connections,Not Selected,Planned,,,
CM-1,Configuration Management,Policy and Procedures,Not Selected,Planned,,,
CM-2,Configuration Management,Baseline Configuration,Not Selected,Planned,,,
CM-3,Configuration Management,Configuration Change Control,Not Selected,Planned,,,
CM-4,Configuration Management,Impact Analyses,Not Selected,Planned,,,
CM-5,Configuration Management,Access Restrictions for Change,Not Selected,Planned,,,
CM-6,Configuration Management,Configuration Settings,Not Selected,Planned,,,
CM-7,Configuration Management,Least Functionality,Not Selected,Planned,,,
CM-8,Configuration Management,System Component Inventory,Not Selected,Planned,,,
CM-9,Configuration Management,Configuration Management Plan,Not Selected,Planned,,,
CM-10,Configuration Management,Software Usage Restrictions,Not Selected,Planned,,,
CM-11,Configuration Management,User-installed Software,Not Selected,Planned,,,
CM-12,Configuration Management,Information Location,Not Selected,Planned,,,
CM-13,Configuration Management,Data Action Mapping,Not Selected,Planned,,,
CM-14,Configuration Management,Signed Components,Not Selected,Planned,,,
CP-1,Contingency Planning,Policy and Procedures,Not Selected,Planned,,,
CP-2,Contingency Planning,Contingency Plan,Not Selected,Planned,,,
CP-3,Contingency Planning,Contingency Training,Not Selected,Planned,,,
CP-4,Contingency Planning,Contingency Plan Testing,Not Selected,Planned,,,
CP-6,Contingency Planning,Alternate Storage Site,Not Selected,Planned,,,
CP-7,Contingency Planning,Alternate Processing Site,Not Selected,Planned,,,
CP-8,Contingency Planning,Telecommunications Services,Not Selected,Planned,,,
CP-9,Contingency Planning,System Backup,Not Selected,Planned,,,
CP-10,Contingency Planning,System Recovery and Reconstitution,Not Selected,Planned,,,
CP-11,Contingency Planning,Alternate Communications Protocols,Not Selected,Planned,,,
CP-12,Contingency Planning,Safe Mode,Not Selected,Planned,,,
CP-13,Contingency Planning,Alternative Security Mechanisms,Not Selected,Planned,,,
IA-1,Identification and Authentication,Policy and Procedures,Not Selected,Planned,,,
IA-2,Identification and Authentication,Identification and Authentication (Organizational Users),Not Selected,Planned,,,
IA-3,Identification and Authentication,Device Identification and Authentication,Not Selected,Planned,,,
IA-4,Identification and Authentication,Identifier Management,Not Selected,Planned,,,
IA-5,Identification and Authentication,Authenticator Management,Not Selected,Planned,,,
IA-6,Identification and Authentication,Authentication Feedback,Not Selected,Planned,,,
IA-7,Identification and Authentication,Cryptographic Module Authentication,Not Selected,Planned,,,
IA-8,Identification and Authentication,Identification and Authentication (Non-Organizational Users),Not Selected,Planned,,,
