Activity,Related Article(s),Responsible (R),Accountable (A),Consulted (C),Informed (I)
Records of processing activities maintenance,Art. 30,Data Protection Officer,CISO,Legal/Compliance,Executive Leadership
Lawful basis assessment,Art. 6,Legal/Compliance,DPO,Business Process Owners,Executive Leadership
Data protection impact assessments,"Art. 35, Art. 36",Privacy Officer,DPO,IT Security Manager,Executive Leadership
Consent mechanism management,"Art. 7, Art. 8",Marketing/Product,DPO,Legal/Compliance,CISO
Data subject request handling,Art. 12-Art. 22,Privacy Team,DPO,Legal/Compliance,Department Managers
Personal data breach response,"Art. 33, Art. 34",IT Security Manager,DPO,Legal/Compliance,Executive Leadership
International transfer assessment,Art. 44-Art. 49,Legal/Compliance,DPO,IT Security Manager,Executive Leadership
Data processing agreement review,Art. 28,Procurement,DPO,Legal/Compliance,Vendor Owner
Security of processing controls,Art. 32,IT Security Manager,CISO,DPO,Executive Leadership
Privacy training delivery,Art. 5(2),HR,DPO,,All Personnel
DPO consultation on high-risk processing,"Art. 35, Art. 39",DPO,Executive Leadership,Legal/Compliance,Department Managers
Vendor/sub-processor risk assessment,Art. 28,Procurement,DPO,Legal/Compliance,IT Security Manager
