Domain,ISO 27001:2022,SOC 2,PCI DSS v4.0,NIST CSF 2.0,HIPAA,GDPR,CCPA/CPRA,NIST SP 800-53,CIS Controls v8,COBIT 2019,FedRAMP,CMMC 2.0
Information security policy & governance,A.5.1,CC5.3,12.1,GV.PO-01; GV.PO-02,164.316(a),,,PM-1,,APO01,,
Board/leadership oversight & governance structure,A.5.2; A.5.4,CC1.2; CC1.3,,GV.RR-01; GV.OV-01,164.308(a)(2),,,PM-2,,EDM01; EDM05,,
Risk assessment methodology,,CC3.1; CC3.2,12.3,ID.RA-01; ID.RA-03; ID.RA-04; ID.RA-05,164.308(a)(1)(i),,Civ. Code 1798.185(a)(15)(B),RA-1; RA-3,,APO12,,RA.L2-3.11.1
Risk treatment/acceptance,,CC9.1,,ID.RA-06; GV.RM-04,164.308(a)(1)(ii),,,RA-7; CA-5,,APO12,DOC-4,CA.L2-3.12.2
Asset inventory & ownership,A.5.9,,,ID.AM-01; ID.AM-02,,Art. 30,,CM-8; PM-5,1.1; 2.1,BAI09,,CM.L2-3.4.1
Data classification,A.5.12; A.5.13,C1.1,,ID.AM-05,,Art. 9(1),Civ. Code 1798.140(ae),RA-2,3.7,APO14,CAT-1,
Data retention & disposal,A.8.10,C1.2,3.1; 3.2,,164.310(d)(1)(i); 164.316(b)(1)(i),Art. 5(1)(e),Civ. Code 1798.100(a)(3),SI-12; MP-6,3.4; 3.5,APO14,,MP.L2-3.8.3
Data masking & anonymization,A.8.11,,3.4,,,Art. 32,,SI-19,,,,
Acceptable use of assets,A.5.10,,12.2,,164.310(b),,,PL-4,,,DOC-8,
HR security screening & termination,A.6.1; A.6.5; A.5.11,,12.7,GV.RR-04,164.308(a)(3)(ii); 164.308(a)(3)(iii),,,PS-3; PS-4,,APO07,PS-1,PS.L2-3.9.1; PS.L2-3.9.2
Disciplinary process for policy violations,A.6.4,,,,164.308(a)(1)(iii),,,PS-8,,,,
Security awareness training,A.6.3,CC1.4,12.6,PR.AT-01; PR.AT-02,164.308(a)(5)(i),,,AT-2; AT-3,14.1; 14.2; 14.9,APO07,,AT.L2-3.2.1; AT.L2-3.2.2
Insider threat program,,,,,,,,PM-12,,,,AT.L2-3.2.3
Access control policy,A.5.15,CC6.1,7.1,PR.AA-05,164.308(a)(4)(ii),,,AC-1,6.8,DSS05,,AC.L2-3.1.1
Identity & account provisioning/deprovisioning,A.5.16; A.5.18,CC6.2; CC6.3,7.2; 8.2,PR.AA-01,164.308(a)(3)(iii); 164.308(a)(4)(iii),,,AC-2,5.1; 6.1; 6.2,,,IA.L2-3.5.1
Authentication (MFA & password management),A.8.5,CC6.1,8.3; 8.4; 8.5,PR.AA-03,164.308(a)(5)(iv); 164.312(d),,,IA-2; IA-5,5.2; 6.3; 6.4; 6.5,,,IA.L2-3.5.3; IA.L2-3.5.7
