Activity,Related Standard,Responsible (R),Accountable (A),Consulted (C),Informed (I)
Risk analysis & risk management,"164.308(a)(1)(i), 164.308(a)(1)(ii)",HIPAA Security Officer,Executive Leadership,IT Operations,Workforce
Compliance matrix maintenance,All standards,HIPAA Security Officer,Executive Leadership,Legal/Compliance,Executive Leadership
ePHI asset inventory maintenance,164.308(a)(1)(i),IT Operations,HIPAA Security Officer,Department Managers,HIPAA Security Officer
Access authorization & recertification,"164.308(a)(4)(ii), 164.308(a)(4)(iii)",IT Operations,HIPAA Security Officer,Department Managers,HIPAA Security Officer
Security incident response,164.308(a)(6)(i),HIPAA Security Officer,Executive Leadership,Legal/Compliance,Executive Leadership
Breach risk assessment & notification,164.400-414,HIPAA Privacy Officer,Executive Leadership,Legal/Compliance,Executive Leadership
Security awareness training delivery,164.308(a)(5)(i),HR,HIPAA Security Officer,Department Managers,Workforce
Business Associate Agreement management,164.314(a)(1)(i),Legal/Compliance,HIPAA Privacy Officer,Procurement,HIPAA Security Officer
Contingency plan testing,164.308(a)(7)(iv),IT Operations,HIPAA Security Officer,Department Managers,Executive Leadership
Sanction policy enforcement,164.308(a)(1)(iii),HR,HIPAA Security Officer,Legal/Compliance,Executive Leadership
Internal audit / evaluation,164.308(a)(8),Internal Audit,Executive Leadership,HIPAA Security Officer,Executive Leadership
Compliance review meeting,"164.308(a)(8), 164.316",HIPAA Security Officer,Executive Leadership,HIPAA Privacy Officer,Workforce
Media disposal & re-use,"164.310(d)(1)(i), 164.310(d)(1)(ii)",IT Operations,HIPAA Security Officer,,HIPAA Security Officer
Policy review & approval,164.316(a),HIPAA Security Officer,Executive Leadership,Legal/Compliance,Workforce
Competence & training records maintenance,164.308(a)(5)(i),HR,HIPAA Security Officer,,HIPAA Security Officer
