Safeguard ID,Control Title,Safeguard Title,Description,Implementation Group (IG1/IG2/IG3),Asset Type,Security Function
1.1,Inventory and Control of Enterprise Assets,Establish and Maintain Detailed Enterprise Asset Inventory,"Maintain an accurate, detailed inventory of all enterprise assets with the potential to store or process data, including end-user devices, network devices, IoT devices, and servers. Review and update the inventory at least biannually or more frequently.",IG1,Devices,Identify
1.2,Inventory and Control of Enterprise Assets,Address Unauthorized Assets,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely, or quarantine the asset.",IG1,Devices,Respond
1.3,Inventory and Control of Enterprise Assets,Utilize an Active Discovery Tool,"Utilize an active discovery tool to identify assets connected to the enterprise's network. Configure the tool to run daily, or more frequently.",IG2,Devices,Identify
1.4,Inventory and Control of Enterprise Assets,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update Enterprise Asset Inventory,"Use DHCP logging on all DHCP servers or IP address management tools to update the enterprise asset inventory. Review and use logs to update the inventory weekly, or more frequently.",IG2,Devices,Identify
1.5,Inventory and Control of Enterprise Assets,Use a Passive Asset Discovery Tool,"Use a passive discovery tool to identify assets connected to the enterprise's network and update the enterprise asset inventory weekly, or more frequently.",IG3,Devices,Detect
2.1,Inventory and Control of Software Assets,Establish and Maintain a Software Inventory,Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. Review and update the inventory at least biannually or more frequently.,IG1,Applications,Identify
2.2,Inventory and Control of Software Assets,Ensure Authorized Software is Currently Supported,Ensure that only currently supported software is designated as authorized in the software inventory. Remediate out-of-support software with an exception documenting business need.,IG1,Applications,Identify
2.3,Inventory and Control of Software Assets,Address Unauthorized Software,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently.",IG1,Applications,Respond
2.4,Inventory and Control of Software Assets,Utilize Automated Software Inventory Tools,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software.",IG2,Applications,Identify
2.5,Inventory and Control of Software Assets,Allowlist Authorized Software,"Use technical controls to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently.",IG2,Applications,Protect
2.6,Inventory and Control of Software Assets,Allowlist Authorized Libraries,"Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, .so, etc. files, are allowed to load into a system process. Reassess bi-annually, or more frequently.",IG2,Applications,Protect
2.7,Inventory and Control of Software Assets,Allowlist Authorized Scripts,"Use technical controls to ensure that only authorized scripts, such as specific .ps1, .py, etc. files, are allowed to execute. Reassess bi-annually, or more frequently.",IG3,Applications,Protect
3.1,Data Protection,Establish and Maintain a Data Management Process,"Establish and maintain a data management process that addresses data sensitivity, data owner, handling of data, data retention limits, and disposal requirements based on sensitivity and retention standards. Review and update annually.",IG1,Data,Govern
3.2,Data Protection,Establish and Maintain a Data Inventory,"Establish and maintain a data inventory based on the enterprise's data management process, inventorying sensitive data at a minimum.",IG1,Data,Identify
3.3,Data Protection,Configure Data Access Control Lists,"Configure data access control lists based on a user's need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications.",IG1,Data,Protect
3.4,Data Protection,Enforce Data Retention,Retain data according to the enterprise's documented data management process. Data retention must include both minimum and maximum timelines.,IG1,Data,Govern
3.5,Data Protection,Securely Dispose of Data,"Securely dispose of data as outlined in the enterprise's documented data management process, using disposal methods appropriate to the sensitivity of the data.",IG1,Data,Protect
3.6,Data Protection,Encrypt Data on End-User Devices,"Encrypt data on end-user devices containing sensitive data, using full-disk or equivalent encryption.",IG1,Devices,Protect
3.7,Data Protection,Establish and Maintain a Data Classification Scheme,"Establish and maintain an overall data classification scheme for the enterprise, used to determine the priority and sensitivity of data. Review and update the scheme annually.",IG2,Data,Identify
3.8,Data Protection,Document Data Flows,"Document data flows, including a description of the data, the source(s), and destination(s), across systems and third parties. Review and update annually.",IG2,Data,Identify
3.9,Data Protection,Encrypt Data on Removable Media,Encrypt data on removable media containing sensitive data.,IG2,Data,Protect
3.10,Data Protection,Encrypt Sensitive Data in Transit,"Encrypt sensitive data in transit, using techniques such as Transport Layer Security (TLS) and Open Secure Shell (OpenSSH).",IG2,Data,Protect
3.11,Data Protection,Encrypt Sensitive Data at Rest,"Encrypt sensitive data at rest on servers, applications, and databases containing sensitive data, using techniques such as full-disk, application-level, or database-level encryption.",IG2,Data,Protect
3.12,Data Protection,Segment Data Processing and Storage Based on Sensitivity,"Segment data processing and storage based on the sensitivity of the data, using separate physical or logical infrastructure.",IG2,Network,Protect
3.13,Data Protection,Deploy a Data Loss Prevention Solution,"Implement an automated tool, such as a host-based data loss prevention (DLP) tool, to identify sensitive data and block or alert on unauthorized attempts to exfiltrate it.",IG3,Data,Protect
3.14,Data Protection,Log Sensitive Data Access,"Log sensitive data access, including modification and disposal.",IG3,Data,Detect
4.1,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process,"Establish and maintain a documented secure configuration process for enterprise assets and software. Review and update documentation annually, or when significant enterprise changes occur.",IG1,Devices,Govern
4.2,Secure Configuration of Enterprise Assets and Software,Establish and Maintain a Secure Configuration Process for Network Infrastructure,"Establish and maintain a documented secure configuration process for network devices. Review and update documentation annually, or when significant enterprise changes occur.",IG1,Network,Govern
4.3,Secure Configuration of Enterprise Assets and Software,Configure Automatic Session Locking on Enterprise Assets,"Configure automatic session locking on enterprise assets after a defined period of inactivity, generally not to exceed 15 minutes for general-purpose operating systems and 2 minutes for mobile end-user devices.",IG1,Devices,Protect
4.4,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on Servers,"Implement and manage a host-based firewall or port-filtering tool on servers, with a default-deny rule that drops all traffic except services and ports explicitly allowed.",IG1,Devices,Protect
4.5,Secure Configuration of Enterprise Assets and Software,Implement and Manage a Firewall on End-User Devices,"Implement and manage a host-based firewall or port-filtering tool on end-user devices, with a default-deny rule that drops traffic except services and ports explicitly allowed.",IG1,Devices,Protect
4.6,Secure Configuration of Enterprise Assets and Software,Securely Manage Enterprise Assets and Software,"Securely manage enterprise assets and software using version-controlled infrastructure-as-code, and access via secure network protocols such as SSH and HTTPS rather than insecure protocols.",IG1,Devices,Protect
4.7,Secure Configuration of Enterprise Assets and Software,Manage Default Accounts on Enterprise Assets and Software,"Manage default accounts on enterprise assets and software, such as root, administrator, and other pre-configured vendor accounts. Example implementations include disabling default accounts or making them unusable.",IG1,Users,Protect
4.8,Secure Configuration of Enterprise Assets and Software,Uninstall or Disable Unnecessary Services on Enterprise Assets and Software,"Uninstall or disable unnecessary services on enterprise assets and software, such as an unused file sharing service, web application module, or service function.",IG2,Devices,Protect
4.9,Secure Configuration of Enterprise Assets and Software,Configure Trusted DNS Servers on Enterprise Assets,"Configure trusted DNS servers on enterprise assets, ensuring the use of secure, enterprise-controlled DNS servers.",IG2,Devices,Protect
4.10,Secure Configuration of Enterprise Assets and Software,Enforce Automatic Device Lockout on Portable End-User Devices,"Enforce automatic device lockout following a predetermined number of failed authentication attempts on portable end-user devices, where supported.",IG2,Devices,Protect
4.11,Secure Configuration of Enterprise Assets and Software,Enforce Remote Wipe Capability on Portable End-User Devices,"Remotely wipe enterprise data from enterprise-owned portable devices when deemed appropriate, such as lost or stolen devices, or when an individual no longer supports the enterprise.",IG2,Devices,Respond
4.12,Secure Configuration of Enterprise Assets and Software,Separate Enterprise Workspaces on Mobile End-User Devices,"Ensure separate enterprise workspaces are used on mobile end-user devices, where supported, using containerization or other similar capability.",IG3,Devices,Protect
5.1,Account Management,Establish and Maintain an Inventory of Accounts,"Establish and maintain an inventory of all accounts managed in the enterprise, including both user and administrator accounts. Review and update the inventory at least quarterly, or more frequently.",IG1,Users,Identify
5.2,Account Management,Use Unique Passwords,"Use unique passwords for all enterprise assets. Best practice includes a minimum password length of 14 characters, where technically feasible, and/or multi-factor authentication where supported.",IG1,Users,Protect
5.3,Account Management,Disable Dormant Accounts,"Delete or disable any dormant accounts after a defined period of inactivity, generally 45 days.",IG1,Users,Protect
5.4,Account Management,Restrict Administrator Privileges to Dedicated Administrator Accounts,"Restrict administrator privileges to dedicated administrator accounts on enterprise assets. Conduct general computing activities, such as internet browsing and email, from a user's primary, non-privileged account.",IG1,Users,Protect
5.5,Account Management,Establish and Maintain an Inventory of Service Accounts,"Establish and maintain an inventory of service accounts, including a department owner, review date, and purpose for each account. Review at least quarterly.",IG2,Users,Identify
5.6,Account Management,Centralize Account Management,Centralize account management through a directory or identity service.,IG2,Users,Protect
6.1,Access Control Management,Establish an Access Granting Process,"Establish and follow a documented process, ideally automated, for granting access to enterprise assets upon new hire, rights grant, or role change of a user.",IG1,Users,Protect
6.2,Access Control Management,Establish an Access Revoking Process,"Establish and follow a process, ideally automated, for revoking access to enterprise assets through disabling accounts immediately upon termination, rights revocation, or role change of a user.",IG1,Users,Protect
