Ref,Category,Title,Applicable (Y/N),Implementation Status,Evidence Reference,Owner,Last Review Date
Civ. Code 1798.100(a),Consumer Rights,Right to Know / Access,,Not Started,,,
Civ. Code 1798.100(d),Consumer Rights,Right to Data Portability,,Not Started,,,
Civ. Code 1798.105,Consumer Rights,Right to Delete,,Not Started,,,
Civ. Code 1798.106,Consumer Rights,Right to Correct (CPRA),,Not Started,,,
Civ. Code 1798.110,Consumer Rights,Right to Know Specific Pieces and Categories Collected,,Not Started,,,
Civ. Code 1798.115,Consumer Rights,"Right to Know About Sale, Sharing, and Disclosure",,Not Started,,,
Civ. Code 1798.120,Consumer Rights,Right to Opt-Out of Sale or Sharing,,Not Started,,,
Civ. Code 1798.121,Consumer Rights,Right to Limit Use of Sensitive Personal Information (CPRA),,Not Started,,,
Civ. Code 1798.125,Consumer Rights,Right to Non-Discrimination,,Not Started,,,
Civ. Code 1798.100(b),Business Obligations,Notice at Collection,,Not Started,,,
Civ. Code 1798.130,Business Obligations,Privacy Policy Requirements,,Not Started,,,
Civ. Code 1798.135,Business Obligations,"""Do Not Sell or Share My Personal Info"" Link",,Not Started,,,
Civ. Code 1798.135(b),Business Obligations,"Opt-Out Preference Signal (e.g., Global Privacy Control)",,Not Started,,,
Civ. Code 1798.130(a)(6),Business Obligations,Verification of Consumer Requests,,Not Started,,,
Civ. Code 1798.130(a)(2),Business Obligations,Response Timelines (45-Day Statutory Clock),,Not Started,,,
Civ. Code 1798.130(a)(1),Business Obligations,Designated Methods for Submitting Requests,,Not Started,,,
Civ. Code 1798.140(ac),Roles & Definitions,Definition: Business,,Not Started,,,
Civ. Code 1798.140(ag),Roles & Definitions,Definition: Service Provider,,Not Started,,,
Civ. Code 1798.140(j),Roles & Definitions,Definition: Contractor (CPRA),,Not Started,,,
Civ. Code 1798.140(ai),Roles & Definitions,Definition: Third Party,,Not Started,,,
Civ. Code 1798.140(v),Roles & Definitions,Definition: Sale,,Not Started,,,
Civ. Code 1798.140(ah),Roles & Definitions,Definition: Sharing (CPRA),,Not Started,,,
Civ. Code 1798.140(ae),Sensitive Personal Information,Definition: Sensitive Personal Information (CPRA),,Not Started,,,
Civ. Code 1798.121,Sensitive Personal Information,Notice of Right to Limit Use of Sensitive Personal Information,,Not Started,,,
Civ. Code 1798.100(c),Data Minimization,Data Minimization and Purpose Limitation (CPRA),,Not Started,,,
Civ. Code 1798.100(a)(3),Data Minimization,Retention Limitation,,Not Started,,,
Civ. Code 1798.100(d),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Service Providers and Contractors,,Not Started,,,
Civ. Code 1798.140(ai)(2),Service Provider / Contractor / Third Party Contracts,Required Contract Terms with Third Parties,,Not Started,,,
Civ. Code 1798.185(a)(15)(A),Risk Assessment & Cybersecurity Audits (CPRA),Annual Cybersecurity Audits for High-Risk Processing,,Not Started,,,
Civ. Code 1798.185(a)(15)(B),Risk Assessment & Cybersecurity Audits (CPRA),Risk Assessments for High-Risk Processing,,Not Started,,,
Civ. Code 1798.185(a)(16),Risk Assessment & Cybersecurity Audits (CPRA),Automated Decision-Making Technology (ADMT) Access and Opt-Out,,Not Started,,,
Civ. Code 1798.150,Enforcement,Private Right of Action for Data Breaches,,Not Started,,,
Civ. Code 1798.155,Enforcement,Administrative Enforcement by the CPPA and Attorney General,,Not Started,,,
Civ. Code 1798.199.10-199.90,Enforcement,California Privacy Protection Agency (CPPA),,Not Started,,,
Civ. Code 1798.175,Enforcement,Preemption of Conflicting Local Ordinances,,Not Started,,,
Civ. Code 1798.192,Enforcement,Waiver Prohibition,,Not Started,,,
Civ. Code 1798.145,Roles & Definitions,Exemptions,,Not Started,,,
