Practice ID,Domain,Level,Title,Evidence Reviewed,Conformance (Met/Not Met/Partial),Finding,POA&M Reference,Auditor,Audit Date
AC.L2-3.1.1,Access Control,"1, 2",Authorized access control,,,,,,
AC.L2-3.1.2,Access Control,"1, 2",Transaction and function control,,,,,,
AC.L2-3.1.3,Access Control,2,Control CUI flow,,,,,,
AC.L2-3.1.4,Access Control,2,Separation of duties,,,,,,
AC.L2-3.1.5,Access Control,2,Least privilege,,,,,,
AC.L2-3.1.6,Access Control,2,Non-privileged account use,,,,,,
AC.L2-3.1.7,Access Control,2,Privileged function restriction,,,,,,
AC.L2-3.1.8,Access Control,2,Unsuccessful logon attempts,,,,,,
AC.L2-3.1.9,Access Control,2,Privacy and security notices,,,,,,
AC.L2-3.1.10,Access Control,2,Session lock,,,,,,
AC.L2-3.1.11,Access Control,2,Session termination,,,,,,
AC.L2-3.1.12,Access Control,2,Remote access monitoring,,,,,,
AC.L2-3.1.13,Access Control,2,Remote access confidentiality,,,,,,
AC.L2-3.1.14,Access Control,2,Route remote access,,,,,,
AC.L2-3.1.15,Access Control,2,Authorize remote privileged commands,,,,,,
AC.L2-3.1.16,Access Control,2,Wireless access authorization,,,,,,
AC.L2-3.1.17,Access Control,2,Wireless access protection,,,,,,
AC.L2-3.1.18,Access Control,2,Mobile device connection control,,,,,,
AC.L2-3.1.19,Access Control,2,Encrypt CUI on mobile devices,,,,,,
AC.L2-3.1.20,Access Control,"1, 2",External system connections,,,,,,
AC.L2-3.1.21,Access Control,2,Portable storage on external systems,,,,,,
AC.L2-3.1.22,Access Control,"1, 2",Publicly accessible content control,,,,,,
AT.L2-3.2.1,Awareness and Training,2,Security awareness,,,,,,
AT.L2-3.2.2,Awareness and Training,2,Role-based training,,,,,,
AT.L2-3.2.3,Awareness and Training,2,Insider threat awareness,,,,,,
AU.L2-3.3.1,Audit and Accountability,2,Audit log creation and retention,,,,,,
AU.L2-3.3.2,Audit and Accountability,2,User accountability,,,,,,
AU.L2-3.3.3,Audit and Accountability,2,Review and update logged events,,,,,,
AU.L2-3.3.4,Audit and Accountability,2,Audit logging failure alerts,,,,,,
AU.L2-3.3.5,Audit and Accountability,2,Audit correlation,,,,,,
AU.L2-3.3.6,Audit and Accountability,2,Audit reduction and reporting,,,,,,
AU.L2-3.3.7,Audit and Accountability,2,Time stamp synchronization,,,,,,
AU.L2-3.3.8,Audit and Accountability,2,Protect audit information,,,,,,
AU.L2-3.3.9,Audit and Accountability,2,Limit audit management privileges,,,,,,
CM.L2-3.4.1,Configuration Management,2,Baseline configurations and inventories,,,,,,
CM.L2-3.4.2,Configuration Management,2,Security configuration settings,,,,,,
CM.L2-3.4.3,Configuration Management,2,Track and approve changes,,,,,,
CM.L2-3.4.4,Configuration Management,2,Security impact analysis,,,,,,
CM.L2-3.4.5,Configuration Management,2,Access restrictions for change,,,,,,
CM.L2-3.4.6,Configuration Management,2,Least functionality,,,,,,
CM.L2-3.4.7,Configuration Management,2,Restrict nonessential functionality,,,,,,
CM.L2-3.4.8,Configuration Management,2,Software execution policy,,,,,,
CM.L2-3.4.9,Configuration Management,2,User-installed software control,,,,,,
IA.L2-3.5.1,Identification and Authentication,"1, 2",System identification,,,,,,
IA.L2-3.5.2,Identification and Authentication,"1, 2",Authentication,,,,,,
IA.L2-3.5.3,Identification and Authentication,2,Multifactor authentication,,,,,,
IA.L2-3.5.4,Identification and Authentication,2,Replay-resistant authentication,,,,,,
IA.L2-3.5.5,Identification and Authentication,2,Identifier reuse prevention,,,,,,
IA.L2-3.5.6,Identification and Authentication,2,Disable inactive identifiers,,,,,,
IA.L2-3.5.7,Identification and Authentication,2,Password complexity,,,,,,
IA.L2-3.5.8,Identification and Authentication,2,Password reuse prohibition,,,,,,
IA.L2-3.5.9,Identification and Authentication,2,Temporary passwords,,,,,,
IA.L2-3.5.10,Identification and Authentication,2,Cryptographically-protected passwords,,,,,,
IA.L2-3.5.11,Identification and Authentication,2,Obscure authentication feedback,,,,,,
IR.L2-3.6.1,Incident Response,2,Incident-handling capability,,,,,,
IR.L2-3.6.2,Incident Response,2,Incident tracking and reporting,,,,,,
IR.L2-3.6.3,Incident Response,2,Test incident response,,,,,,
MA.L2-3.7.1,Maintenance,2,Perform system maintenance,,,,,,
MA.L2-3.7.2,Maintenance,2,Control maintenance tools,,,,,,
MA.L2-3.7.3,Maintenance,2,Sanitize equipment for off-site maintenance,,,,,,
MA.L2-3.7.4,Maintenance,2,Check maintenance media,,,,,,
MA.L2-3.7.5,Maintenance,2,Nonlocal maintenance authentication,,,,,,
MA.L2-3.7.6,Maintenance,2,Supervise unauthorized maintenance personnel,,,,,,
MP.L2-3.8.1,Media Protection,2,Protect system media,,,,,,
MP.L2-3.8.2,Media Protection,2,Limit media access,,,,,,
MP.L2-3.8.3,Media Protection,"1, 2",Sanitize or destroy media,,,,,,
MP.L2-3.8.4,Media Protection,2,Mark CUI media,,,,,,
MP.L2-3.8.5,Media Protection,2,Media transport accountability,,,,,,
MP.L2-3.8.6,Media Protection,2,Media transport confidentiality,,,,,,
MP.L2-3.8.7,Media Protection,2,Removable media control,,,,,,
MP.L2-3.8.8,Media Protection,2,Prohibit unowned portable storage,,,,,,
MP.L2-3.8.9,Media Protection,2,Protect backup confidentiality,,,,,,
PS.L2-3.9.1,Personnel Security,2,Personnel screening,,,,,,
PS.L2-3.9.2,Personnel Security,2,Personnel actions protection,,,,,,
PE.L2-3.10.1,Physical Protection,"1, 2",Limit physical access,,,,,,
PE.L2-3.10.2,Physical Protection,2,Protect physical facility,,,,,,
PE.L2-3.10.3,Physical Protection,"1, 2",Escort visitors,,,,,,
PE.L2-3.10.4,Physical Protection,"1, 2",Physical access logs,,,,,,
PE.L2-3.10.5,Physical Protection,"1, 2",Physical access devices,,,,,,
