ID,Category,Title,Evidence Reviewed,Conformance (Effective/Partially Effective/Not Effective),Finding,Exception Reference,Auditor,Audit Date
CC1.1,Common Criteria - Control Environment,Commitment to integrity and ethical values,,,,,,
CC1.2,Common Criteria - Control Environment,Board independence and oversight,,,,,,
CC1.3,Common Criteria - Control Environment,Structure and reporting lines,,,,,,
CC1.4,Common Criteria - Control Environment,Commitment to competence,,,,,,
CC1.5,Common Criteria - Control Environment,Accountability,,,,,,
CC2.1,Common Criteria - Communication and Information,Relevant quality information,,,,,,
CC2.2,Common Criteria - Communication and Information,Internal communication,,,,,,
CC2.3,Common Criteria - Communication and Information,External communication,,,,,,
CC3.1,Common Criteria - Risk Assessment,Objectives with clarity,,,,,,
CC3.2,Common Criteria - Risk Assessment,Risk identification and analysis,,,,,,
CC3.3,Common Criteria - Risk Assessment,Fraud risk consideration,,,,,,
CC3.4,Common Criteria - Risk Assessment,Assessing changes,,,,,,
CC4.1,Common Criteria - Monitoring Activities,Ongoing/separate evaluations,,,,,,
CC4.2,Common Criteria - Monitoring Activities,Evaluating and communicating deficiencies,,,,,,
CC5.1,Common Criteria - Control Activities,Selecting control activities,,,,,,
CC5.2,Common Criteria - Control Activities,Technology general controls,,,,,,
CC5.3,Common Criteria - Control Activities,Policies and procedures deployment,,,,,,
CC6.1,Common Criteria - Logical and Physical Access,Logical access security measures,,,,,,
CC6.2,Common Criteria - Logical and Physical Access,User registration and authorization,,,,,,
CC6.3,Common Criteria - Logical and Physical Access,Role-based access management,,,,,,
CC6.4,Common Criteria - Logical and Physical Access,Physical access restriction,,,,,,
CC6.5,Common Criteria - Logical and Physical Access,Discontinuing protections,,,,,,
CC6.6,Common Criteria - Logical and Physical Access,Boundary protection,,,,,,
CC6.7,Common Criteria - Logical and Physical Access,Data transmission restriction,,,,,,
CC6.8,Common Criteria - Logical and Physical Access,Malicious software prevention,,,,,,
CC7.1,Common Criteria - System Operations,Vulnerability detection,,,,,,
CC7.2,Common Criteria - System Operations,Anomaly monitoring,,,,,,
CC7.3,Common Criteria - System Operations,Security incident evaluation,,,,,,
CC7.4,Common Criteria - System Operations,Incident response,,,,,,
CC7.5,Common Criteria - System Operations,Recovery from incidents,,,,,,
CC8.1,Common Criteria - Change Management,Change management process,,,,,,
CC9.1,Common Criteria - Risk Mitigation,Business disruption risk mitigation,,,,,,
CC9.2,Common Criteria - Risk Mitigation,Vendor and business partner risk,,,,,,
A1.1,Availability,Capacity management,,,,,,
A1.2,Availability,Environmental protections and recovery infrastructure,,,,,,
A1.3,Availability,Recovery plan testing,,,,,,
C1.1,Confidentiality,Confidential information identification,,,,,,
C1.2,Confidentiality,Confidential information disposal,,,,,,
PI1.1,Processing Integrity,Processing integrity objectives,,,,,,
PI1.2,Processing Integrity,System input controls,,,,,,
PI1.3,Processing Integrity,System processing controls,,,,,,
PI1.4,Processing Integrity,System output controls,,,,,,
PI1.5,Processing Integrity,Storage of inputs and outputs,,,,,,
