Objective ID,Domain,Title,Description
EDM01,EDM,Ensured Governance Framework Setting and Maintenance,"Analyze and articulate requirements for the governance of enterprise I&T, and put in place and maintain effective enabling structures, principles, processes and practices, with clarity of responsibilities and authority to achieve the enterprise's mission, goals and objectives."
EDM02,EDM,Ensured Benefits Delivery,"Optimize the value contribution to the business from business processes, IT services and IT assets resulting from investments made at acceptable cost."
EDM03,EDM,Ensured Risk Optimization,"Ensure that the enterprise's risk appetite and tolerance are understood, articulated and communicated, and that risk to enterprise value related to the use of I&T is identified and managed."
EDM04,EDM,Ensured Resource Optimization,"Ensure that adequate and sufficient IT-related capabilities (people, process and technology) are available to support enterprise objectives effectively, at optimal cost."
EDM05,EDM,Ensured Stakeholder Engagement,"Ensure that stakeholders are engaged in decision-making processes and that reporting is transparent, agreed and accurate, so stakeholders are properly informed about I&T performance and conformance."
APO01,APO,Managed I&T Management Framework,"Clarify and maintain the governance mission and vision for enterprise IT, and implement and maintain mechanisms and authorities to manage information and the use of I&T in the enterprise, in support of governance objectives."
APO02,APO,Managed Strategy,"Provide a holistic view of the current business and IT environment, the future direction, and the initiatives required to migrate to the desired future environment, leveraging enterprise architecture building blocks and components."
APO03,APO,Managed Enterprise Architecture,"Establish a common architecture consisting of business process, information, data, application and technology architecture layers to effectively realize enterprise and IT strategies."
APO04,APO,Managed Innovation,"Maintain awareness of information and technology trends, identify innovation opportunities, and plan how to benefit from innovation in relation to business needs."
APO05,APO,Managed Portfolio,"Execute the strategic direction set for investments in line with the enterprise architecture vision and desired characteristics, and manage the mix of programs, services and assets accordingly."
APO06,APO,Managed Budget and Costs,"Manage IT-related financial activities in both the business and IT functions, covering budgeting, cost and benefit management, and prioritization of spending through formal budgeting practices."
APO07,APO,Managed Human Resources,"Provide a structured approach to ensure optimal structuring, placement, decision rights and skills of human resources across the enterprise, including communication of roles and responsibilities."
APO08,APO,Managed Relationships,"Manage the relationship between the business and IT in a formalized and transparent way that focuses on achieving a common, shared goal of successful enterprise outcomes."
APO09,APO,Managed Service Agreements,"Align I&T-enabled services and service levels with enterprise needs and expectations, including identification, specification, design, publishing, agreement and monitoring of services, service levels and performance indicators."
APO10,APO,Managed Vendors,"Manage IT-related products and services from vendors, including selecting vendors, managing relationships, managing contracts, and reviewing and monitoring performance for effectiveness and compliance."
APO11,APO,Managed Quality,"Define and communicate quality requirements in all processes, procedures and related outcomes, including controls, ongoing monitoring, and the use of proven practices and standards in continuous improvement efforts."
APO12,APO,Managed Risk,"Continually identify, assess and reduce IT-related risk within levels of tolerance set by enterprise executive management."
APO13,APO,Managed Security,"Define, operate and monitor a system for information security management, including establishing and maintaining an information security management approach."
